;Runway 24
N051.17.09.501 W000.44.44.492 N051.21.22.766 W000.32.00.642
N051.17.22.748 W000.44.55.741 N051.17.09.501 W000.44.44.492
N051.17.50.889 W000.43.30.986 N051.17.37.641 W000.43.19.736
N051.18.19.030 W000.42.06.202 N051.18.05.782 W000.41.54.950
N051.18.47.170 W000.40.41.390 N051.18.33.922 W000.40.30.136
N051.19.15.311 W000.39.16.549 N051.19.02.063 W000.39.05.293
N051.19.43.451 W000.37.51.678 N051.19.30.203 W000.37.40.420
N051.20.11.592 W000.36.26.779 N051.19.58.344 W000.36.15.519
N051.20.39.732 W000.35.01.851 N051.20.26.484 W000.34.50.589
N051.21.07.873 W000.33.36.894 N051.20.54.625 W000.33.25.630
N051.17.50.889 W000.43.30.986 N051.17.24.393 W000.43.08.485
N051.19.15.311 W000.39.16.549 N051.18.48.815 W000.38.54.036
N051.21.36.013 W000.32.11.908 N051.21.09.518 W000.31.49.376
;Runway 06
N051.15.54.040 W000.48.31.441 N051.11.40.692 W001.01.12.279
N051.16.07.287 W000.48.42.688 N051.15.54.040 W000.48.31.441
N051.15.39.137 W000.50.07.339 N051.15.25.890 W000.49.56.094
N051.15.10.987 W000.51.31.961 N051.14.57.741 W000.51.20.717
N051.14.42.837 W000.52.56.554 N051.14.29.591 W000.52.45.312
N051.14.14.688 W000.54.21.118 N051.14.01.441 W000.54.09.878
N051.13.46.538 W000.55.45.653 N051.13.33.291 W000.55.34.416
N051.13.18.388 W000.57.10.160 N051.13.05.141 W000.56.58.925
N051.12.50.238 W000.58.34.638 N051.12.36.992 W000.58.23.405
N051.12.22.088 W000.59.59.088 N051.12.08.842 W000.59.47.856
N051.15.39.137 W000.50.07.339 N051.15.12.644 W000.49.44.849
N051.14.14.688 W000.54.21.118 N051.13.48.194 W000.53.58.639
N051.11.53.939 W001.01.23.508 N051.11.27.445 W001.01.01.049
