EGLK Blackbushe               S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
N051.19.31.108 W000.50.21.140 N051.19.31.230 W000.50.20.120 smrYellow ;A1
N051.19.26.628 W000.50.20.500 N051.19.26.565 W000.50.21.609 smrYellow ;A2
N051.19.24.790 W000.50.44.872 N051.19.24.966 W000.50.43.615 smrYellow ;C1
N051.19.22.678:W000.50.43.246 N051.19.23.432:W000.50.42.190 smrYellow ;C2
N051.19.22.520 W000.50.45.028 N051.19.22.559 W000.50.43.378 smrYellow ;C3
N051.19.22.123 W000.50.57.469 N051.19.22.268 W000.50.56.505 smrYellow ;D
N051.19.17.515 W000.51.19.339 N051.19.18.236 W000.51.19.400 smrYellow ;E
N051.19.24.883 W000.50.24.406 N051.19.25.581 W000.50.24.723 smrYellow ;G
N051.19.21.907 W000.51.17.010 N051.19.20.486 W000.51.16.224 smrWhite ;Threshold 07
N051.19.32.141 W000.50.28.012 N051.19.30.669 W000.50.27.237 smrWhite ;Threshold 25
N051.19.21.816 W000.50.37.679 N051.19.19.312 W000.50.37.666 smrWhite ;Parking Lines
N051.19.22.202 W000.50.32.801 N051.19.22.344 W000.50.31.092 smrWhite ;Parking Lines
N051.19.23.123 W000.50.37.684 N051.19.26.904 W000.50.37.711 smrWhite ;Parking Lines
N051.19.23.011 W000.50.38.947 N051.19.26.666 W000.50.38.951 smrWhite ;Parking Lines
N051.19.22.910 W000.50.40.124 N051.19.23.202 W000.50.36.789 smrWhite ;Parking Lines
N051.19.21.717 W000.50.38.924 N051.19.19.180 W000.50.38.935 smrWhite ;Parking Lines
N051.19.19.180 W000.50.38.935 N051.19.19.167 W000.50.38.948 smrWhite ;Parking Lines
N051.19.21.864 W000.50.37.216 N051.19.21.691 W000.50.39.500 smrWhite ;Parking Lines
N051.19.47.538 W000.50.51.717 N051.19.47.618 W000.50.50.763 smrWhite ;Disused X
N051.19.29.537 W000.50.44.480 N051.19.29.229 W000.50.43.997 smrWhite ;Disused X
N051.19.29.229 W000.50.43.997 N051.19.29.222 W000.50.43.984 smrWhite ;Disused X
N051.19.34.066 W000.50.38.776 N051.19.33.605 W000.50.38.057 smrWhite ;Disused X
N051.19.36.729 W000.50.28.755 N051.19.36.837 W000.50.27.709 smrWhite ;Disused X
N051.19.30.860 W000.50.38.655 N051.19.30.534 W000.50.38.111 smrWhite ;Disused X
N051.19.37.097 W000.50.28.318 N051.19.36.453 W000.50.28.169 smrWhite ;Disused X
N051.19.28.098 W000.50.38.253 N051.19.27.542 W000.50.38.761 smrWhite ;Disused X
N051.19.30.861 W000.50.38.105 N051.19.30.525 W000.50.38.645 smrWhite ;Disused X
N051.19.23.048 W000.51.14.651 N051.19.22.944 W000.51.14.300 smrWhite ;Disused X
N051.19.48.162 W000.50.38.852 N051.19.47.799 W000.50.38.151 smrWhite ;Disused X
N051.19.27.959 W000.50.38.883 N051.19.27.642 W000.50.38.089 smrWhite ;Disused X
N051.19.23.109 W000.51.14.411 N051.19.22.899 W000.51.14.560 smrWhite ;Disused X
N051.19.47.783 W000.50.38.850 N051.19.48.177 W000.50.38.132 smrWhite ;Disused X
N051.19.47.867 W000.50.51.296 N051.19.47.284 W000.50.51.162 smrWhite ;Disused X
N051.19.34.047 W000.50.38.052 N051.19.33.600 W000.50.38.766 smrWhite ;Disused X
N051.19.29.550 W000.50.44.021 N051.19.29.241 W000.50.44.504 smrWhite ;Disused X
