;Runway 27L
N051.27.53.800 W000.25.14.940 N051.27.55.160 E000.05.55.890
N051.27.53.940 W000.24.26.970 N051.27.29.970 W000.24.26.780
N051.27.54.300 W000.22.51.030 N051.27.30.230 W000.22.50.840
N051.27.54.660 W000.19.39.150 N051.27.30.690 W000.19.38.960
N051.27.55.030 W000.16.27.270 N051.27.31.060 W000.16.27.080
N051.27.55.310 W000.13.15.390 N051.27.31.330 W000.13.15.200
N051.27.55.500 W000.10.03.510 N051.27.15.550 W000.10.03.200
N051.27.55.610 W000.06.51.630 N051.27.31.640 W000.06.51.440
N051.27.55.630 W000.03.39.750 N051.27.31.650 W000.03.39.560
N051.27.55.560 W000.00.27.870 N051.27.31.590 W000.00.27.680
N051.27.55.400 E000.02.44.010 N051.27.31.430 E000.02.44.190
N051.27.55.160 E000.05.55.890 N051.27.31.190 E000.05.56.070
;Runway 27R
N051.28.39.430 W000.25.11.860 N051.28.40.990 E000.05.59.480
N051.28.39.579 W000.24.23.885 N051.29.03.548 W000.24.24.079
N051.28.39.848 W000.22.47.920 N051.29.03.818 W000.22.48.115
N051.28.40.323 W000.19.35.985 N051.29.04.293 W000.19.36.180
N051.28.40.713 W000.16.24.056 N051.29.04.682 W000.16.24.250
N051.28.41.015 W000.13.12.121 N051.29.04.984 W000.13.12.316
N051.28.41.228 W000.10.00.188 N051.29.21.176 W000.10.00.512
N051.28.41.353 W000.06.48.253 N051.29.05.323 W000.06.48.448
N051.28.41.393 W000.03.36.320 N051.29.05.362 W000.03.36.514
N051.28.41.347 W000.00.24.385 N051.29.05.315 W000.00.24.579
N051.28.41.210 E000.02.47.551 N051.29.05.179 E000.02.47.356
N051.28.40.990 E000.05.59.484 N051.29.04.958 E000.05.59.289
;Runway 09R
N051.27.52.822 W000.30.32.338 N051.27.42.112 W001.00.55.039
N051.27.52.451 W000.32.08.275 N051.27.28.478 W000.32.08.061
N051.27.51.652 W000.35.20.146 N051.27.27.679 W000.35.19.934
N051.27.50.767 W000.38.32.017 N051.27.26.794 W000.38.31.803
N051.27.49.790 W000.41.43.886 N051.27.25.818 W000.41.43.673
N051.27.48.728 W000.44.55.752 N051.27.08.775 W000.44.55.395
N051.27.47.581 W000.48.07.617 N051.27.23.608 W000.48.07.405
N051.27.46.341 W000.51.19.478 N051.27.22.370 W000.51.19.266
N051.27.45.021 W000.54.31.333 N051.27.21.048 W000.54.31.121
N051.27.43.609 W000.57.43.189 N051.27.19.638 W000.57.42.975
N051.27.42.112 W001.00.55.039 N051.27.18.140 W001.00.54.828
;Runway 09L
N051.28.38.451 W000.30.42.460 N051.28.27.541 W001.01.05.666
N051.28.38.073 W000.32.18.426 N051.29.02.043 W000.32.18.649
N051.28.37.253 W000.35.30.350 N051.29.01.221 W000.35.30.573
N051.28.36.343 W000.38.42.277 N051.29.00.312 W000.38.42.500
N051.28.35.348 W000.41.54.195 N051.28.59.317 W000.41.54.420
N051.28.34.265 W000.45.06.115 N051.29.14.214 W000.45.06.487
N051.28.33.094 W000.48.18.032 N051.28.57.064 W000.48.18.254
N051.28.31.838 W000.51.29.943 N051.28.55.807 W000.51.30.167
N051.28.30.492 W000.54.41.856 N051.28.54.460 W000.54.42.079
N051.28.29.059 W000.57.53.762 N051.28.53.029 W000.57.53.984
N051.28.27.541 W001.01.05.666 N051.28.51.509 W001.01.05.889
