ABAVI N051.28.34.450 W000.45.05.670
BAPAG N051.43.05.000 W000.07.24.000
BENPA N051.27.48.760 W000.44.55.760
BIG29 N051.21.43.290 W000.44.04.000
CF09L N051.28.34.400 W000.45.05.330
CF09R N051.27.48.820 W000.44.56.180
CF27L N051.27.55.730 W000.10.03.160
CF27R N051.28.41.600 W000.10.00.470
D026O N051.16.41.720 W000.27.01.700
D026R N051.19.23.110 W000.24.55.310
D026T N051.21.10.680 W000.23.30.910
D041B N051.19.47.220 W000.24.41.840
D070J N051.32.28.210 W000.12.50.880
D074K N051.21.07.560 W000.09.52.970
D074L N051.21.22.831 W000.08.20.429
D100H N051.28.04.140 W001.00.35.430
D101H N051.28.04.140 W001.00.35.430
D110B N051.28.41.240 W000.25.45.520
D113B N051.28.39.770 W000.25.46.300
D124D N051.27.13.690 W000.23.24.540
D124E N051.26.22.040 W000.21.26.800
D126O N051.34.31.660 W000.13.46.990
D126S N051.32.06.450 W000.08.41.040
D130B N051.27.55.500 W000.25.34.620
D132B N051.27.54.110 W000.25.36.780
D161J N051.19.42.970 W000.23.09.280
D177E N051.38.34.750 W000.32.42.290
D195L N051.17.42.650 W000.33.15.470
D196F N051.39.13.400 W000.09.03.570
D196J N051.35.22.930 W000.10.49.420
D208I N051.21.04.680 W000.35.05.960
D223H N051.23.42.010 W000.36.32.210
D239F N051.26.29.040 W000.35.36.280
D251B N051.28.36.230 W000.31.01.660
D253A N051.17.55.020 W000.28.58.500
D253E N051.17.00.310 W000.34.01.600
D253K N051.26.12.700 W000.44.54.080
D255E N051.28.01.340 W000.35.45.010
D255G N051.27.32.100 W000.38.51.080
D256K N051.26.18.250 W000.44.56.260
D257C N051.28.36.460 W000.32.41.090
D258I N051.27.22.880 W000.42.33.970
D259X N051.27.19.480 W000.45.18.960
D260M N051.27.15.420 W000.48.32.370
D268D N051.29.09.140 W000.34.23.400
D271A N051.27.50.780 W000.30.33.170
D271E N051.18.23.790 E000.27.52.380
D278F N051.30.08.320 W000.37.28.960
D280G N051.30.36.800 W000.38.58.420
D283E N051.19.21.550 E000.28.04.220
D283P N051.21.47.460 E000.10.57.790
D283T N051.22.39.900 E000.04.44.090
D287L N051.21.58.980 W000.45.02.440
D304H N051.33.51.740 W000.38.36.850
D325H N051.35.36.630 W000.34.54.030
D329T N051.36.57.330 W000.14.26.210
D356D N051.35.00.240 W000.41.03.900
DE29A N051.19.01.280 W000.10.21.730
DE29C N051.24.36.670 W000.09.17.580
DE34A N051.25.40.820 W000.17.05.690
DET32 N051.19.05.080 W000.15.08.570
FI09L N051.28.35.760 W000.41.05.430
FI09R N051.27.50.130 W000.40.56.350
FI27L N051.27.55.460 W000.14.03.010
FI27R N051.28.41.310 W000.14.00.390
GW39B N051.30.14.590 W000.47.34.940
GWC35 N051.26.15.040 W000.47.21.360
IVLAR N051.28.41.570 W000.10.00.080
L09LF N051.28.36.050 W000.40.15.820
L09RF N051.27.50.340 W000.40.07.130
L27LF N051.27.55.400 W000.14.52.500
L27RF N051.28.41.220 W000.14.49.660
LA34A N051.35.35.540 W000.45.12.660
LAM30 N051.35.59.210 W000.38.49.670
LLE01 N051.11.13.960 E000.15.21.680
LLE02 N051.18.57.680 E000.21.09.870
LLS01 N051.10.21.990 W000.41.08.430
LLW02 N051.24.03.910 W000.43.36.890
LLW03 N051.18.32.830 W000.45.56.940
NEKSA N051.27.55.720 W000.10.01.890
RW09L N051.28.39.000 W000.29.06.050
RW09R N051.27.53.250 W000.28.56.410
RW27L N051.27.53.830 W000.26.02.680
RW27R N051.28.39.630 W000.25.59.740
SAM30 N051.22.20.600 W000.55.40.350
SAM33 N051.25.02.620 W000.52.56.360
