;- HEATHROW HOLDING POINTS
N051.27.57.900:W000.26.02.000:EGLL Holding Points:N1
N051.27.56.600:W000.26.18.500:EGLL Holding Points:N2W
N051.28.00.500:W000.26.08.500:EGLL Holding Points:N2E
N051.27.57.100:W000.26.28.000:EGLL Holding Points:NB3
N051.27.58.500:W000.26.19.700:EGLL Holding Points:N3
N051.27.57.400:W000.27.06.700:EGLL Holding Points:N4W
N051.27.57.600:W000.26.44.000:EGLL Holding Points:N4E
N051.27.57.200:W000.27.42.300:EGLL Holding Points:N5W
N051.27.57.200:W000.27.21.800:EGLL Holding Points:N5E
;N051.27.57.300:W000.28.06.000:EGLL Holding Points:N6 ;under construction
N051.27.57.901:W000.27.57.200:EGLL Holding Points:N6E
N051.27.56.800:W000.28.28.000:EGLL Holding Points:N7
N051.27.57.000:W000.29.01.000:EGLL Holding Points:N8
N051.27.56.200:W000.28.54.700:EGLL Holding Points:NB8
N051.27.57.000:W000.29.11.100:EGLL Holding Points:N10
N051.27.55.500:W000.29.13.000:EGLL Holding Points:NB10
N051.27.57.800:W000.29.22.000:EGLL Holding Points:N11
N051.27.56.000:W000.29.24.000:EGLL Holding Points:NB11
N051.28.03.800:W000.28.06.000:EGLL Holding Points:E1
N051.28.03.800:W000.27.57.200:EGLL Holding Points:F1
N051.28.06.400:W000.26.40.400:EGLL Holding Points:B1
N051.28.01.400:W000.26.29.400:EGLL Holding Points:LOKKI
N051.28.07.000:W000.26.20.500:EGLL Holding Points:ETTIV
N051.28.08.400:W000.26.07.200:EGLL Holding Points:MORRA
N051.27.46.100:W000.29.20.700:EGLL Holding Points:S11
N051.27.49.400:W000.28.36.700:EGLL Holding Points:SB7
N051.27.48.500:W000.28.26.300:EGLL Holding Points:S7
N051.27.46.100:W000.28.09.000:EGLL Holding Points:SY6
N051.27.48.900:W000.28.00.900:EGLL Holding Points:S6
;N051.27.48.900:W000.27.22.000:EGLL Holding Points:S5
N051.27.48.700:W000.27.08.300:EGLL Holding Points:S4
N051.27.49.100:W000.26.34.310:EGLL Holding Points:S3
N051.27.49.500:W000.26.27.500:EGLL Holding Points:SB3
N051.27.47.000:W000.26.15.500:EGLL Holding Points:S1N
N051.27.41.200:W000.26.11.900:EGLL Holding Points:S1S
N051.27.45.900:W000.26.06.500:EGLL Holding Points:SB1
N051.27.56.400:W000.26.02.400:EGLL Holding Points:NB1
N051.28.35.700:W000.28.52.300:EGLL Holding Points:A12
N051.28.35.500:W000.28.32.000:EGLL Holding Points:A11
N051.28.35.500:W000.28.23.300:EGLL Holding Points:A10W
N051.28.34.400:W000.28.05.200:EGLL Holding Points:A10E
N051.28.34.800:W000.27.31.800:EGLL Holding Points:A9E
N051.28.34.800:W000.27.46.800:EGLL Holding Points:A9W
N051.28.34.800:W000.27.15.000:EGLL Holding Points:A8
N051.28.34.900:W000.27.05.000:EGLL Holding Points:A7
N051.28.35.000:W000.26.50.300:EGLL Holding Points:A6
N051.28.03.400:W000.28.53.900:EGLL Holding Points:OSTER
N051.28.00.400:W000.28.53.900:EGLL Holding Points:HORKA
N051.28.34.400:W000.26.40.800:EGLL Holding Points:AY5
N051.28.26.300:W000.28.15.800:EGLL Holding Points:E2
N051.28.26.000:W000.27.59.700:EGLL Holding Points:F2
N051.28.34.600:W000.26.31.600:EGLL Holding Points:A5
N051.28.36.000:W000.26.16.000:EGLL Holding Points:A4
N051.28.32.100:W000.26.08.900:EGLL Holding Points:A2
N051.28.34.300:W000.26.13.300:EGLL Holding Points:A3
N051.28.32.600:W000.25.51.600:EGLL Holding Points:AY1
N051.28.30.500:W000.25.45.500:EGLL Holding Points:M1
N051.28.37.100:W000.25.58.100:EGLL Holding Points:A1
N051.28.27.100:W000.26.15.300:EGLL Holding Points:ROKIT
N051.28.34.200:W000.26.26.400:EGLL Holding Points:PLUTO
N051.28.26.800:W000.26.03.800:EGLL Holding Points:SATUN
;Heathrow Stands
N051.28.29.660:W000.27.08.000:EGLL Stands:101
N051.28.24.740:W000.26.59.140:EGLL Stands:102
N051.28.29.670:W000.27.05.320:EGLL Stands:103
N051.28.25.530:W000.26.57.320:EGLL Stands:104
N051.28.29.680:W000.27.02.940:EGLL Stands:105
N051.28.26.300:W000.26.55.510:EGLL Stands:106
N051.28.27.080:W000.26.53.690:EGLL Stands:108
N051.28.29.690:W000.27.01.180:EGLL Stands:109
N051.28.27.910:W000.26.51.750:EGLL Stands:110
;N051.28.28.860:W000.26.49.500:EGLL Stands:112
N051.28.17.680:W000.26.53.720:EGLL Stands:114
N051.28.18.250:W000.26.51.920:EGLL Stands:116
N051.28.23.480:W000.26.55.220:EGLL Stands:117
N051.28.18.950:W000.26.50.020:EGLL Stands:118
N051.28.24.290:W000.26.53.330:EGLL Stands:119
N051.28.19.800:W000.26.47.980:EGLL Stands:120
N051.28.25.140:W000.26.51.320:EGLL Stands:121
N051.28.20.610:W000.26.45.440:EGLL Stands:122
N051.28.26.260:W000.26.48.720:EGLL Stands:123
N051.28.21.720:W000.26.42.830:EGLL Stands:124
N051.28.27.570:W000.26.45.660:EGLL Stands:125
N051.28.28.060:W000.26.44.520:EGLL Stands:125L
N051.28.27.330:W000.26.46.210:EGLL Stands:125R
N051.28.22.880:W000.26.40.130:EGLL Stands:126
N051.28.29.500:W000.26.40.810:EGLL Stands:127
N051.28.29.750:W000.26.39.820:EGLL Stands:127L
N051.28.28.710:W000.26.42.650:EGLL Stands:127R
N051.28.23.770:W000.26.38.030:EGLL Stands:128
N051.28.29.630:W000.26.37.580:EGLL Stands:129
N051.28.24.720:W000.26.35.810:EGLL Stands:130
N051.28.25.640:W000.26.33.680:EGLL Stands:132
N051.28.25.500:W000.26.33.990:EGLL Stands:134
N051.28.18.140:W000.26.44.560:EGLL Stands:139
N051.28.19.190:W000.26.42.120:EGLL Stands:141
N051.28.20.230:W000.26.39.680:EGLL Stands:143
N051.28.21.960:W000.26.35.620:EGLL Stands:144
N051.28.23.290:W000.26.32.520:EGLL Stands:145
N051.28.11.410:W000.26.40.330:EGLL Stands:146
N051.28.11.740:W000.26.39.870:EGLL Stands:147
N051.28.12.790:W000.26.38.370:EGLL Stands:148
N051.28.13.840:W000.26.36.870:EGLL Stands:149
N051.28.14.160:W000.26.36.410:EGLL Stands:150
N051.28.15.540:W000.26.34.440:EGLL Stands:152
N051.28.15.870:W000.26.33.970:EGLL Stands:153
N051.28.16.920:W000.26.32.470:EGLL Stands:154
N051.28.17.970:W000.26.30.970:EGLL Stands:155
N051.28.18.270:W000.26.30.540:EGLL Stands:156
N051.28.19.870:W000.26.28.250:EGLL Stands:158
N051.28.19.420:W000.26.28.890:EGLL Stands:158L
N051.28.20.310:W000.26.27.620:EGLL Stands:158R
N051.28.08.780:W000.26.28.610:EGLL Stands:170
N051.28.06.330:W000.26.32.110:EGLL Stands:171
N051.28.29.650:W000.27.10.730:EGLL Stands:174
N051.28.29.640:W000.27.13.150:EGLL Stands:176
N051.28.29.630:W000.27.15.440:EGLL Stands:178
N051.28.29.630:W000.27.17.620:EGLL Stands:180
N051.28.29.620:W000.27.19.820:EGLL Stands:182
N051.28.29.620:W000.27.21.980:EGLL Stands:184
N051.28.29.610:W000.27.24.160:EGLL Stands:186
N051.28.29.600:W000.27.26.330:EGLL Stands:188
N051.28.29.590:W000.27.28.510:EGLL Stands:190
N051.28.29.230:W000.27.31.290:EGLL Stands:192
N051.28.29.230:W000.27.30.690:EGLL Stands:192L
N051.28.29.230:W000.27.32.980:EGLL Stands:192R
N051.28.09.400:W000.27.01.820:EGLL Stands:202
N051.28.12.640:W000.26.56.250:EGLL Stands:203
N051.28.08.450:W000.27.00.110:EGLL Stands:204
N051.28.11.550:W000.26.54.290:EGLL Stands:205
N051.28.07.500:W000.26.58.400:EGLL Stands:206
N051.28.10.270:W000.26.51.990:EGLL Stands:207
