EGLL Heathrow SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N051.33.31.000 W000.59.17.000 N051.37.42.000 W000.50.19.000
                            N051.37.42.000 W000.50.19.000 N051.38.19.000 W000.48.30.000
                            N051.38.19.000 W000.48.30.000 N051.38.18.413 W000.48.31.229
                            N051.38.18.413 W000.48.31.229 N051.38.03.436 W000.48.23.618
                            N051.38.03.436 W000.48.23.618 N051.37.48.929 W000.48.13.933
                            N051.37.48.929 W000.48.13.933 N051.37.35.000 W000.48.02.247
                            N051.37.35.000 W000.48.02.247 N051.37.21.756 W000.47.48.648
                            N051.37.21.756 W000.47.48.648 N051.37.09.298 W000.47.33.241
                            N051.37.09.298 W000.47.33.241 N051.36.57.721 W000.47.16.142
                            N051.36.57.721 W000.47.16.142 N051.36.47.112 W000.46.57.482
                            N051.36.47.112 W000.46.57.482 N051.36.37.553 W000.46.37.403
                            N051.36.37.553 W000.46.37.403 N051.36.29.115 W000.46.16.057
                            N051.36.29.115 W000.46.16.057 N051.36.21.865 W000.45.53.608
                            N051.36.21.865 W000.45.53.608 N051.36.15.855 W000.45.30.225
                            N051.36.15.855 W000.45.30.225 N051.36.11.133 W000.45.06.087
                            N051.36.11.133 W000.45.06.087 N051.36.07.735 W000.44.41.378
                            N051.36.07.735 W000.44.41.378 N051.36.05.685 W000.44.16.285
                            N051.36.05.685 W000.44.16.285 N051.36.05.000 W000.43.51.000
                            N051.36.05.000 W000.43.51.000 N051.36.05.685 W000.43.25.715
                            N051.36.05.685 W000.43.25.715 N051.36.07.735 W000.43.00.622
                            N051.36.07.735 W000.43.00.622 N051.36.11.133 W000.42.35.913
                            N051.36.11.133 W000.42.35.913 N051.36.15.855 W000.42.11.775
                            N051.36.15.855 W000.42.11.775 N051.36.21.865 W000.41.48.392
                            N051.36.21.865 W000.41.48.392 N051.36.29.115 W000.41.25.943
                            N051.36.29.115 W000.41.25.943 N051.36.37.553 W000.41.04.597
                            N051.36.37.553 W000.41.04.597 N051.36.47.112 W000.40.44.518
                            N051.36.47.112 W000.40.44.518 N051.36.57.721 W000.40.25.858
                            N051.36.57.721 W000.40.25.858 N051.37.09.298 W000.40.08.759
                            N051.37.09.298 W000.40.08.759 N051.37.21.756 W000.39.53.352
                            N051.37.21.756 W000.39.53.352 N051.37.35.000 W000.39.39.753
                            N051.37.35.000 W000.39.39.753 N051.37.48.929 W000.39.28.067
                            N051.37.48.929 W000.39.28.067 N051.38.03.436 W000.39.18.382
                            N051.38.03.436 W000.39.18.382 N051.38.18.413 W000.39.10.771
                            N051.38.18.413 W000.39.10.771 N051.38.33.743 W000.39.05.293
