;Runway 05
N051.34.05.399 E000.41.17.806 N051.28.13.800 E000.28.19.970
N051.33.04.900 E000.38.30.710 N051.32.45.470 E000.38.53.220
N051.31.35.210 E000.36.17.520 N051.31.54.640 E000.35.55.020
N051.30.24.890 E000.33.41.950 N051.30.44.320 E000.33.19.450
N051.29.14.510 E000.31.06.510 N051.29.33.940 E000.30.44.030
N051.28.23.510 E000.28.08.730 N051.28.04.080 E000.28.31.200
;Runway 23
N051.34.29.651 E000.42.11.836 N051.40.19.710 E000.55.13.210
N051.35.30.050 E000.44.59.100 N051.35.49.490 E000.44.36.570
N051.36.40.120 E000.47.35.250 N051.36.59.560 E000.47.12.710
N051.37.50.130 E000.50.11.530 N051.38.09.570 E000.49.48.980
N051.39.00.090 E000.52.47.940 N051.39.19.530 E000.52.25.390
N051.40.09.990 E000.55.24.490 N051.40.29.420 E000.55.01.930
