BEGTI N051.07.44.820 E001.11.05.370
BEMLA N051.05.19.080 E000.49.15.830
DINBI N050.58.54.570 E000.46.38.710
GATSU N051.04.37.930 E001.01.01.130
GITKI N051.07.39.060 E001.09.09.370
GOKAT N050.49.18.330 E000.46.36.310
LONRU N051.10.58.020 E000.56.03.100
MD03F N050.53.15.710 E000.51.25.340
MD21F N051.04.12.730 E001.00.35.380
NURSI N051.09.21.660 E001.03.34.490
PEVOL N050.46.15.340 E000.52.50.800
RIBGO N050.52.20.980 E000.40.21.010
ROMTI N051.02.06.000 E000.55.20.180
SORDI N051.10.13.570 E000.57.07.640
TUMVA N051.08.56.470 E001.03.08.670
