;Perimeter
REGIONNAME Retford Gamston
smrGPGrass N053.16.21.370 W000.57.16.492
N053.16.21.288 W000.57.16.283
N053.16.21.167 W000.57.16.034
N053.16.21.011 W000.57.15.827
N053.16.20.782 W000.57.15.507
N053.16.20.717 W000.57.15.426
N053.16.20.699 W000.57.15.362
N053.16.20.727 W000.57.15.260
N053.16.20.874 W000.57.15.195
N053.16.25.962 W000.57.12.902
N053.16.30.043 W000.57.10.014
N053.16.30.338 W000.57.09.839
N053.16.30.891 W000.57.09.552
N053.16.32.045 W000.57.09.010
N053.16.33.092 W000.57.08.643
N053.16.33.864 W000.57.08.341
N053.16.34.349 W000.57.08.086
N053.16.35.167 W000.57.07.528
N053.16.43.543 W000.56.59.430
N053.16.44.005 W000.56.58.830
N053.16.44.795 W000.56.57.741
N053.16.49.724 W000.56.50.798
N053.16.52.837 W000.56.46.254
N053.16.52.987 W000.56.45.938
N053.16.53.164 W000.56.45.358
N053.16.53.254 W000.56.44.578
N053.16.53.405 W000.56.44.250
N053.16.53.661 W000.56.44.125
N053.16.56.239 W000.56.43.705
N053.17.00.195 W000.56.43.041
N053.17.06.261 W000.56.41.268
N053.17.12.457 W000.56.37.889
N053.17.17.478 W000.56.37.876
N053.17.17.883 W000.56.38.038
N053.17.18.216 W000.56.38.393
N053.17.18.403 W000.56.38.881
N053.17.18.548 W000.56.40.690
N053.17.19.020 W000.56.47.712
N053.17.18.971 W000.56.49.220
N053.17.18.731 W000.56.50.908
N053.17.18.364 W000.56.52.122
N053.17.17.937 W000.56.53.048
N053.17.17.302 W000.56.54.148
N053.17.15.044 W000.56.55.940
N053.17.02.824 W000.57.06.290
N053.17.02.814 W000.57.07.262
N053.17.02.876 W000.57.09.154
N053.17.03.001 W000.57.11.765
N053.17.04.545 W000.57.50.399
N053.16.58.635 W000.58.10.445
N053.16.51.557 W000.58.11.271
N053.16.29.070 W000.58.15.945
N053.16.27.693 W000.58.06.435
N053.16.25.367 W000.58.07.282
N053.16.21.564 W000.57.49.969
N053.16.29.033 W000.57.43.759
N053.16.23.244 W000.57.23.171

;Disused
REGIONNAME Retford Gamston
smrDarkApron N053.16.37.935 W000.57.08.447
N053.16.35.904 W000.57.10.132
N053.16.33.686 W000.57.11.950
N053.16.24.401 W000.57.19.562
N053.16.24.291 W000.57.19.680
N053.16.24.118 W000.57.19.912
N053.16.23.972 W000.57.20.134
N053.16.23.863 W000.57.20.382
N053.16.23.744 W000.57.20.749
N053.16.23.650 W000.57.21.093
N053.16.23.580 W000.57.21.425
N053.16.23.534 W000.57.21.796
N053.16.23.516 W000.57.22.208
N053.16.23.516 W000.57.22.589
N053.16.23.538 W000.57.22.979
N053.16.23.591 W000.57.23.348
N053.16.23.682 W000.57.23.713
N053.16.23.787 W000.57.24.031
N053.17.16.246 W000.56.43.275
N053.17.16.424 W000.56.42.843
N053.17.16.387 W000.56.42.502
N053.17.16.203 W000.56.42.003
N053.17.15.828 W000.56.41.323
N053.17.15.533 W000.56.40.868
N053.17.15.105 W000.56.40.348
N053.17.14.660 W000.56.39.963
N053.17.14.278 W000.56.39.771
N053.17.13.956 W000.56.39.663
N053.17.13.610 W000.56.39.659
N053.17.13.354 W000.56.39.683
N053.17.13.014 W000.56.39.756
N053.17.12.727 W000.56.39.882
N053.16.56.321 W000.56.53.276
N053.16.56.228 W000.56.53.453
N053.16.56.148 W000.56.53.693
N053.16.56.094 W000.56.53.944
N053.16.56.060 W000.56.54.199
N053.16.56.071 W000.56.54.478
N053.16.55.924 W000.56.54.222
N053.16.55.749 W000.56.54.006
N053.16.55.587 W000.56.53.853
N053.16.55.440 W000.56.53.744
N053.16.55.279 W000.56.53.669
N053.16.55.110 W000.56.53.635
N053.16.54.878 W000.56.53.636
N053.16.54.715 W000.56.53.690
N053.16.54.627 W000.56.53.744
N053.16.54.575 W000.56.53.493
N053.16.54.681 W000.56.53.383
N053.16.54.812 W000.56.53.360
N053.16.54.978 W000.56.53.359
N053.16.55.455 W000.56.53.336
N053.16.55.592 W000.56.52.996
N053.16.56.352 W000.56.52.380
N053.16.56.732 W000.56.52.152
N053.16.56.799 W000.56.52.216
