EGNH Blackpool SMAA    		S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.57.10.440 W003.01.17.040 N053.56.35.160 W002.55.46.920 
                            N053.56.35.160 W002.55.46.920 N053.55.30.720 W002.51.59.040 
                            N053.55.30.720 W002.51.59.040 N053.53.44.160 W002.48.16.560 
                            N053.53.44.160 W002.48.16.560 N053.51.38.160 W002.45.37.800 
                            N053.51.38.160 W002.45.37.800 N053.49.21.360 W002.43.51.600 
                            N053.49.21.360 W002.43.51.600 N053.46.30.720 W002.42.57.960 
                            N053.46.30.720 W002.42.57.960 N053.43.39.000 W002.43.24.600 
                            N053.43.39.000 W002.43.24.600 N053.41.12.120 W002.44.52.800 
                            N053.41.12.120 W002.44.52.800 N053.39.08.640 W002.47.10.680 
                            N053.39.08.640 W002.47.10.680 N053.37.18.840 W002.50.26.880 
                            N053.37.18.840 W002.50.26.880 N053.35.51.360 W002.55.12.000 
                            N053.35.51.360 W002.55.12.000 N053.35.16.080 W003.00.08.640 
                            N053.35.16.080 W003.00.08.640 N053.35.33.720 W003.05.58.200 
                            N053.35.33.720 W003.05.58.200 N053.36.49.680 W003.10.55.200 
                            N053.36.49.680 W003.10.55.200 N053.38.41.640 W003.14.51.720 
                            N053.38.41.640 W003.14.51.720 N053.41.10.320 W003.17.55.680 
                            N053.41.10.320 W003.17.55.680 N053.44.34.800 W003.19.53.400 
                            N053.44.34.800 W003.19.53.400 N053.47.41.640 W003.19.59.880 
                            N053.47.41.640 W003.19.59.880 N053.50.42.720 W003.18.37.800 
                            N053.50.42.720 W003.18.37.800 N053.53.07.080 W003.16.11.640 
                            N053.53.07.080 W003.16.11.640 N053.55.22.800 W003.12.05.400 
                            N053.55.22.800 W003.12.05.400 N053.56.34.440 W003.07.56.280 
                            N053.56.34.440 W003.07.56.280 N053.57.05.400 W003.04.25.680 
                            N053.57.05.400 W003.04.25.680 N053.57.10.440 W003.01.17.040

                             N054.01.18.000 W003.01.43.000 N054.01.14.575 W002.59.30.277
                             N054.01.14.575 W002.59.30.277 N054.01.04.327 W002.57.18.563
                             N054.01.04.327 W002.57.18.563 N054.00.47.333 W002.55.08.862
                             N054.00.47.333 W002.55.08.862 N054.00.23.723 W002.53.02.161
                             N054.00.23.723 W002.53.02.161 N053.59.53.677 W002.50.59.424
                             N053.59.53.677 W002.50.59.424 N053.59.17.423 W002.49.01.585
                             N053.59.17.423 W002.49.01.585 N053.58.35.237 W002.47.09.540
                             N053.58.35.237 W002.47.09.540 N053.57.47.440 W002.45.24.143
                             N053.57.47.440 W002.45.24.143 N053.56.54.396 W002.43.46.196
                             N053.56.54.396 W002.43.46.196 N053.55.56.509 W002.42.16.444
                             N053.55.56.509 W002.42.16.444 N053.54.54.219 W002.40.55.570
                             N053.54.54.219 W002.40.55.570 N053.53.48.000 W002.39.44.190
                             N053.53.48.000 W002.39.44.190 N053.52.38.356 W002.38.42.847
                             N053.52.38.356 W002.38.42.847 N053.51.25.818 W002.37.52.007
                             N053.51.25.818 W002.37.52.007 N053.50.10.937 W002.37.12.059
                             N053.50.10.937 W002.37.12.059 N053.48.54.283 W002.36.43.305
                             N053.48.54.283 W002.36.43.305 N053.47.36.440 W002.36.25.964
                             N053.47.36.440 W002.36.25.964 N053.46.18.000 W002.36.20.169
                             N053.46.18.000 W002.36.20.169 N053.44.59.560 W002.36.25.964
                             N053.44.59.560 W002.36.25.964 N053.43.41.717 W002.36.43.305
                             N053.43.41.717 W002.36.43.305 N053.42.25.063 W002.37.12.059
                             N053.42.25.063 W002.37.12.059 N053.41.10.182 W002.37.52.007
                             N053.41.10.182 W002.37.52.007 N053.39.57.644 W002.38.42.847
                             N053.39.57.644 W002.38.42.847 N053.38.48.000 W002.39.44.190
