;Runway 02
N053.32.04.213 W000.22.42.220 N053.24.40.303 W000.27.48.344
N053.32.07.636 W000.22.56.224 N053.32.00.789 W000.22.28.215
N053.31.12.148 W000.23.34.582 N053.31.05.300 W000.23.06.583
N053.30.16.659 W000.24.12.912 N053.30.09.811 W000.23.44.924
N053.29.25.735 W000.25.09.866 N053.29.09.758 W000.24.04.584
N053.28.25.682 W000.25.29.488 N053.28.18.834 W000.25.01.520
N053.27.30.193 W000.26.07.735 N053.27.23.345 W000.25.39.777
N053.26.34.704 W000.26.45.954 N053.26.27.856 W000.26.18.006
N053.25.39.215 W000.27.24.145 N053.25.32.368 W000.26.56.207
N053.24.48.292 W000.28.20.926 N053.24.32.314 W000.27.15.762
;Runway 20
N053.36.44.489 W000.19.28.096 N053.44.08.367 W000.14.19.032
N053.36.47.915 W000.19.42.125 N053.36.41.064 W000.19.14.067
N053.37.43.399 W000.19.03.596 N053.37.36.549 W000.18.35.528
N053.38.38.884 W000.18.25.039 N053.38.32.034 W000.17.56.960
N053.39.38.936 W000.18.05.180 N053.39.22.951 W000.16.59.639
N053.40.29.854 W000.17.07.840 N053.40.23.003 W000.16.39.741
N053.41.25.338 W000.16.29.198 N053.41.18.488 W000.16.01.089
N053.42.20.823 W000.15.50.528 N053.42.13.973 W000.15.22.408
N053.43.16.308 W000.15.11.829 N053.43.09.457 W000.14.43.699
N053.44.16.360 W000.14.51.863 N053.44.00.375 W000.13.46.202
