;- HUMBERSIDE HOLDING POINTS
N053.34.51.272:W000.20.54.913:EGNJ Holding Points:A
N053.34.53.011:W000.20.51.025:EGNJ Holding Points:B
N053.34.59.473:W000.20.46.140:EGNJ Holding Points:C
N053.34.53.652:W000.21.05.141:EGNJ Holding Points:D
N053.34.44.364:W000.20.59.212:EGNJ Holding Points:E2
N053.34.43.756:W000.20.57.142:EGNJ Holding Points:E1
N053.34.51.384:W000.20.58.621:EGNJ Holding Points:G
N053.34.35.713:W000.21.09.346:EGNJ Holding Points:H
N053.34.37.160:W000.20.58.862:EGNJ Holding Points:R
N053.34.35.616:W000.20.54.528:EGNJ Holding Points:S
N053.34.31.685:W000.21.02.776:EGNJ Holding Points:T
N053.34.34.806:W000.21.04.118:EGNJ Holding Points:U
;Humberside Stands
N053.34.56.610:W000.20.54.560:EGNJ Stands:1
N053.34.57.810:W000.20.56.170:EGNJ Stands:2
N053.34.59.040:W000.20.58.280:EGNJ Stands:3
N053.34.58.660:W000.21.00.770:EGNJ Stands:4
N053.34.52.220:W000.20.59.520:EGNJ Stands:5
N053.34.53.250:W000.21.01.930:EGNJ Stands:6
N053.34.52.980:W000.20.59.290:EGNJ Stands:7
N053.34.52.690:W000.21.00.900:EGNJ Stands:8
N053.34.56.250:W000.20.55.790:EGNJ Stands:H1N 
N053.34.56.620:W000.20.54.410:EGNJ Stands:H1S 
N053.34.53.090:W000.21.02.000:EGNJ Stands:H6
N053.34.53.870:W000.21.01.450:EGNJ Stands:H7
N053.34.54.670:W000.21.00.900:EGNJ Stands:H8
N053.34.59.580:W000.20.51.750:EGNJ Stands:H9
N053.35.00.380:W000.20.51.180:EGNJ Stands:H10
N053.35.01.170:W000.20.50.610:EGNJ Stands:H11
N053.35.02.080:W000.20.50.190:EGNJ Stands:H12
