EGNJ Humberside SMAA    	S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.32.20.000 W000.37.01.000 N053.42.33.000 W000.30.00.000
                            N053.36.45.149 W000.04.52.682 N053.38.05.901 W000.04.15.755  
                            N053.38.05.901 W000.04.15.755 N053.39.29.229 W000.04.03.012  
                            N053.39.29.229 W000.04.03.012 N053.40.52.602 W000.04.14.879  
                            N053.40.52.602 W000.04.14.879 N053.42.13.486 W000.04.51.035  
                            N053.42.13.486 W000.04.51.035 N053.43.29.418 W000.05.50.417  
                            N053.43.29.418 W000.05.50.417 N053.44.38.079 W000.07.11.247  
                            N053.44.38.079 W000.07.11.247 N053.45.37.375 W000.08.51.083  
                            N053.45.37.375 W000.08.51.083 N053.46.25.490 W000.10.46.892  
                            N053.46.25.490 W000.10.46.892 N053.47.00.951 W000.12.55.141  
                            N053.47.00.951 W000.12.55.141 N053.47.22.673 W000.15.11.907  
                            N053.47.22.673 W000.15.11.907 N053.47.29.988 W000.17.33.000  
                            N053.47.29.988 W000.17.33.000 N053.47.22.673 W000.19.54.093  
                            N053.47.22.673 W000.19.54.093 N053.47.00.951 W000.22.10.859  
                            N053.47.00.951 W000.22.10.859 N053.46.25.490 W000.24.19.108  
                            N053.46.25.490 W000.24.19.108 N053.45.37.375 W000.26.14.917  
                            N053.45.37.375 W000.26.14.917 N053.44.38.079 W000.27.54.753  
                            N053.44.38.079 W000.27.54.753 N053.43.29.418 W000.29.15.583
                            N053.36.27.000 W000.05.08.000 N053.26.16.000 W000.12.14.000 
                            N053.25.34.000 W000.12.47.000 N053.21.48.000 W000.19.59.000 
                            N053.26.07.296 W000.12.20.757 N053.25.53.431 W000.12.23.910
                            N053.25.47.844 W000.12.26.337 N053.25.40.224 W000.12.34.436
                            N053.32.01.501 W000.37.14.902 N053.30.40.618 W000.37.50.916 
                            N053.30.40.618 W000.37.50.916 N053.29.17.244 W000.38.02.738 
                            N053.29.17.244 W000.38.02.738 N053.27.53.916 W000.37.50.049 
                            N053.27.53.916 W000.37.50.049 N053.26.33.164 W000.37.13.272 
                            N053.26.33.164 W000.37.13.272 N053.25.17.434 W000.36.13.560 
                            N053.25.17.434 W000.36.13.560 N053.24.09.019 W000.34.52.753 
                            N053.24.09.019 W000.34.52.753 N053.23.09.987 W000.33.13.317 
                            N053.23.09.987 W000.33.13.317 N053.22.22.119 W000.31.18.276 
                            N053.22.22.119 W000.31.18.276 N053.21.46.858 W000.29.11.109 
                            N053.21.46.858 W000.29.11.109 N053.21.25.268 W000.26.55.657 
                            N053.21.25.268 W000.26.55.657 N053.21.17.999 W000.24.36.000 
                            N053.21.17.999 W000.24.36.000 N053.21.25.268 W000.22.16.343 
                            N053.21.25.268 W000.22.16.343 N053.21.46.858 W000.20.00.891 
                            N053.36.42.057 W000.21.16.488 N053.44.29.190 W000.18.00.975
                            N053.44.29.190 W000.18.00.975 N053.42.44.529 W000.11.34.429
                            N053.42.44.529 W000.11.34.429 N053.35.59.541 W000.18.29.810
                            N053.35.59.541 W000.18.29.810 N053.36.42.057 W000.21.16.488
                            N053.32.59.369 W000.23.50.049 N053.25.57.026 W000.30.29.593
                            N053.25.57.026 W000.30.29.593 N053.24.15.338 W000.24.20.459
                            N053.24.15.338 W000.24.20.459 N053.32.10.809 W000.20.31.398
                            N053.32.10.809 W000.20.31.398 N053.32.59.369 W000.23.50.049
