D052J N053.50.53.820 W001.53.04.690
D052K N053.51.31.370 W001.51.45.740
D052L N053.52.08.900 W001.50.26.760
D082J N053.46.10.110 W001.49.33.270
D082N N053.46.46.480 W001.42.53.450
D140B N053.50.05.900 W001.36.48.980
D253X N053.50.18.170 W001.47.58.370
D297D N053.53.47.630 W001.45.34.450
D312B N053.53.44.430 W001.42.48.210
D313A N053.52.41.670 W001.40.45.540
D318R N053.30.12.930 W001.17.00.020
D318S N053.30.57.250 W001.18.07.620
D322O N053.28.42.730 W001.12.12.140
D326N N053.28.27.870 W001.09.55.880
D326O N053.29.17.430 W001.10.52.300
D326S N053.32.35.590 W001.14.38.360
GAM29 N053.40.50.450 W001.24.06.070
GAM31 N053.39.48.300 W001.31.41.950
GAM32 N053.43.18.760 W001.26.57.110
GAM35 N053.42.44.970 W001.36.14.660
GAM36 N053.46.36.400 W001.30.45.670
GAM38 N053.44.57.360 W001.39.39.610
