;- LEEDS BRADFORD HOLDING POINTS
N053.52.11.424:W001.39.48.636:EGNM Holding Points:A2
N053.52.04.440:W001.39.16.452:EGNM Holding Points:D3
N053.52.04.476:W001.39.39.708:EGNM Holding Points:B
N053.52.04.512:W001.39.29.016:EGNM Holding Points:C
N053.51.50.508:W001.39.17.532:EGNM Holding Points:D1
N053.51.58.644:W001.39.16.596:EGNM Holding Points:D2
N053.52.26.220:W001.40.17.076:EGNM Holding Points:E1
N053.52.23.088:W001.40.12.936:EGNM Holding Points:E2
N053.52.06.032:W001.39.58.512:EGNM Holding Points:F1
N053.52.00.768:W001.40.03.108:EGNM Holding Points:F3
N053.51.58.608:W001.40.03.576:EGNM Holding Points:F4
N053.51.59.976:W001.39.59.292:EGNM Holding Points:G1
N053.51.54.688:W001.39.44.705:EGNM Holding Points:G2
N053.51.55.282:W001.39.41.389:EGNM Holding Points:L1
N053.51.54.158:W001.39.43.556:EGNM Holding Points:L2
N053.51.52.812:W001.39.45.648:EGNM Holding Points:L3
N053.52.03.990:W001.39.54.445:EGNM Holding Points:M1
N053.51.43.844:W001.39.22.860:EGNM Holding Points:K
N053.51.38.970:W001.39.18.418:EGNM Holding Points:J
N053.52.2.722:W001.39.35.088:EGNM Holding Points:N1
N053.52.2.426:W001.39.18.433:EGNM Holding Points:N2
N053.52.2.393:W001.39.12.220:EGNM Holding Points:N3
N053.52.4.306:W001.39.7.783:EGNM Holding Points:N4
;EGNM Stands
N053.52.10.488:W001.39.42.804:EGNM Stands:1
N053.52.08.292:W001.39.39.564:EGNM Stands:3
N053.52.07.212:W001.39.36.936:EGNM Stands:5
N053.52.07.212:W001.39.35.280:EGNM Stands:6
N053.52.07.212:W001.39.32.796:EGNM Stands:7
N053.52.08.000:W001.39.30.925:EGNM Stands:8
N053.52.08.000:W001.39.28.655:EGNM Stands:9
N053.52.08.000:W001.39.26.315:EGNM Stands:10
N053.52.07.968:W001.39.23.364:EGNM Stands:11
N053.52.07.932:W001.39.20.736:EGNM Stands:12
N053.52.07.896:W001.39.17.892:EGNM Stands:13
N053.52.07.896:W001.39.15.372:EGNM Stands:14
N053.52.07.824:W001.39.12.852:EGNM Stands:15
N053.52.07.474:W001.39.10.975:EGNM Stands:16L
N053.52.07.824:W001.39.10.296:EGNM Stands:16R
N053.52.07.788:W001.39.07.812:EGNM Stands:17
N053.52.07.767:W001.39.05.702:EGNM Stands:18L
N053.52.07.412:W001.39.05.242:EGNM Stands:18R
N053.52.03.090:W001.39.01.230:EGNM Stands:19
N053.52.02.330:W001.39.01.100:EGNM Stands:20
N053.52.01.730:W001.39.01.120:EGNM Stands:21
N053.51.58.992:W001.39.07.019:EGNM Stands:22
N053.51.59.009:W001.39.08.029:EGNM Stands:23
N053.51.59.114:W001.39.09.335:EGNM Stands:24
