EGNO Warton              S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Holding Points
N053.44.41.339 W002.53.21.948 N053.44.41.439 W002.53.22.898 smrYellow;A1
N053.44.37.309 W002.53.40.007 N053.44.38.413 W002.53.38.303 smrYellow;B1
N053.44.39.522 W002.53.38.129 N053.44.39.807 W002.53.38.476 smrYellow;B2
N053.44.39.807 W002.53.38.476 N053.44.39.883 W002.53.38.686 smrYellow;B2
N053.44.39.883 W002.53.38.686 N053.44.40.026 W002.53.40.196 smrYellow;B2
N053.44.39.835 W002.53.40.812 N053.44.38.671 W002.53.42.685 smrYellow;B3
N053.44.43.642 W002.52.39.902 N053.44.43.242 W002.52.39.426 smrYellow;C1
N053.44.41.192 W002.52.44.466 N053.44.41.617 W002.52.44.908 smrYellow;C2
N053.44.32.700 W002.53.30.871 N053.44.33.388 W002.53.29.802 smrYellow;D1
N053.44.28.348 W002.53.22.867 N053.44.29.045 W002.53.21.811 smrYellow;D2
N053.44.22.540 W002.53.09.877 N053.44.21.847 W002.53.10.959 smrYellow;D3
