;Runway 04
N053.09.38.391 W003.00.10.569 N053.02.50.786 W003.09.59.599
N053.09.46.262 W003.00.25.677 N053.09.30.519 W002.59.55.462
N053.09.04.908 W003.01.38.825 N053.08.41.294 W003.00.53.516
N053.08.15.683 W003.02.36.831 N053.07.59.941 W003.02.06.635
N053.07.34.329 W003.03.49.898 N053.07.10.716 W003.03.04.616
N053.06.45.104 W003.04.47.832 N053.06.29.362 W003.04.17.653
N053.06.03.750 W003.06.00.818 N053.05.40.137 W003.05.15.563
N053.05.14.525 W003.06.58.680 N053.04.58.783 W003.06.28.519
N053.04.33.171 W003.08.11.585 N053.04.09.558 W003.07.26.356
N053.03.43.946 W003.09.09.376 N053.03.28.204 W003.08.39.232
N053.03.02.592 W003.10.22.200 N053.02.38.979 W003.09.36.997
;Runway 22
N053.11.44.123 W002.57.08.354 N053.17.01.101 W002.49.27.329
N053.11.51.995 W002.57.23.471 N053.11.36.250 W002.56.53.237
N053.12.41.214 W002.56.25.292 N053.12.17.596 W002.55.39.927
N053.13.22.560 W002.55.11.952 N053.13.06.815 W002.54.41.700
N053.14.11.779 W002.54.13.700 N053.13.48.161 W002.53.28.308
N053.14.53.126 W002.53.00.278 N053.14.37.380 W002.52.30.008
N053.15.42.345 W002.52.01.953 N053.15.18.726 W002.51.16.535
N053.16.23.691 W002.50.48.450 N053.16.07.945 W002.50.18.162
N053.17.12.910 W002.49.50.051 N053.16.49.292 W002.49.04.606
