Hawarden RMA    S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                N053.13.33.730 W002.54.28.921 N053.17.01.136 W002.49.27.516
                N053.17.01.136 W002.49.27.516 N053.16.14.832 W002.44.25.054
                N053.16.14.832 W002.44.25.054 N053.11.52.454 W002.40.45.726
                N053.11.52.454 W002.40.45.726 N053.13.33.730 W002.54.28.921

Hawarden RMZ    N053.13.09.000 W002.50.59.000 N053.09.40.000 W002.50.59.000
                N053.09.40.000 W002.50.59.000 N053.08.23.000 W002.50.59.000
                N053.08.23.000 W002.50.59.000 N053.04.00.000 W002.57.20.000
                N053.04.00.000 W002.57.20.000 N053.00.00.000 W003.03.05.000
                N053.00.00.000 W003.03.05.000 N053.00.00.000 W003.07.11.000
                N053.00.00.000 W003.07.11.000 N053.03.21.000 W003.11.50.000
                N053.03.21.000 W003.11.50.000 N053.08.45.000 W003.12.27.000
                N053.08.45.000 W003.12.27.000 N053.15.25.000 W003.02.50.000
