EGNR Hawarden SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Intermediate approach areas only, the rest is separated from this
                            N053.11.16.440 W002.55.03.720 N053.12.53.640 W002.58.11.640 
                            N053.12.53.640 W002.58.11.640 N053.19.45.120 W002.51.05.400 
                            N053.19.45.120 W002.51.05.400 N053.16.28.560 W002.44.48.840 
                            N053.16.28.560 W002.44.48.840 N053.11.16.440 W002.55.03.720 

                            N053.10.04.440 W003.02.18.240 N053.08.26.520 W002.59.11.760 
                            N053.08.26.520 W002.59.11.760 N053.01.37.200 W003.06.16.920 
                            N053.01.37.200 W003.06.16.920 N053.04.53.760 W003.12.31.320 
                            N053.04.53.760 W003.12.31.320 N053.10.04.440 W003.02.18.240
;1800ft
;mistake? 531902N 0030601W
;use this instead
                             N053.19.02.000 W003.04.14.000 N053.19.59.000 W003.02.50.000
                             N053.19.59.000 W003.02.50.000 N053.20.24.411 W003.02.13.214
                             N053.20.24.411 W003.02.13.214 N053.20.52.701 W003.01.21.620
                             N053.20.52.701 W003.01.21.620 N053.21.18.193 W003.00.26.101
                             N053.21.18.193 W003.00.26.101 N053.21.40.692 W002.59.27.081
                             N053.21.40.692 W002.59.27.081 N053.22.00.028 W002.58.25.008
                             N053.22.00.028 W002.58.25.008 N053.22.16.052 W002.57.20.356
                             N053.22.16.052 W002.57.20.356 N053.22.28.644 W002.56.13.615
                             N053.22.28.644 W002.56.13.615 N053.22.37.708 W002.55.05.294
                             N053.22.37.708 W002.55.05.294 N053.22.43.173 W002.53.55.913
                             N053.22.43.173 W002.53.55.913 N053.22.45.000 W002.52.46.000
                             N053.22.45.000 W002.52.46.000 N053.22.43.173 W002.51.36.087
                             N053.22.43.173 W002.51.36.087 N053.22.37.708 W002.50.26.706
                             N053.22.37.708 W002.50.26.706 N053.22.28.644 W002.49.18.385
                             N053.22.28.644 W002.49.18.385 N053.22.16.052 W002.48.11.644
                             N053.22.16.052 W002.48.11.644 N053.22.00.028 W002.47.06.992
                             N053.22.00.028 W002.47.06.992 N053.21.40.692 W002.46.04.919
                             N053.21.40.692 W002.46.04.919 N053.21.18.193 W002.45.05.899
                             N053.21.18.193 W002.45.05.899 N053.20.52.701 W002.44.10.380
                             N053.20.52.701 W002.44.10.380 N053.20.24.411 W002.43.18.786
                             N053.20.24.411 W002.43.18.786 N053.19.53.538 W002.42.31.508
                             N053.19.53.538 W002.42.31.508 N053.19.20.317 W002.41.48.907
                             N053.19.20.317 W002.41.48.907 N053.18.45.000 W002.41.11.307
                             N053.18.45.000 W002.41.11.307 N053.18.07.857 W002.40.38.994
                             N053.18.07.857 W002.40.38.994 N053.17.29.170 W002.40.12.214
                             N053.17.29.170 W002.40.12.214 N053.16.49.233 W002.39.51.171
                             N053.16.49.233 W002.39.51.171 N053.16.08.351 W002.39.36.025
                             N053.16.08.351 W002.39.36.025 N053.15.26.835 W002.39.26.890
                             N053.15.26.835 W002.39.26.890 N053.14.45.000 W002.39.23.838
                             N053.14.45.000 W002.39.23.838 N053.14.03.165 W002.39.26.890
                             N053.14.03.165 W002.39.26.890 N053.13.21.649 W002.39.36.025
                             N053.13.21.649 W002.39.36.025 N053.12.40.767 W002.39.51.171
                             N053.12.40.767 W002.39.51.171 N053.12.00.830 W002.40.12.214
                             N053.12.00.830 W002.40.12.214 N053.11.22.143 W002.40.38.994
                             N053.11.22.143 W002.40.38.994 N053.10.45.000 W002.41.11.307
                             N053.10.45.000 W002.41.11.307 N053.10.09.683 W002.41.48.907
                             N053.10.09.683 W002.41.48.907 N053.09.36.462 W002.42.31.508
                             N053.09.36.462 W002.42.31.508 N053.09.29.000 W002.42.45.000
                             N053.09.29.000 W002.42.45.000 N053.03.39.000 W002.51.13.000
                             N053.03.39.000 W002.51.13.000 N053.12.58.000 W002.59.06.000
                             N053.12.58.000 W002.59.06.000 N053.19.02.000 W003.04.14.000
;2200ft
                             N053.12.58.000 W002.59.06.000 N053.03.39.000 W002.51.13.000
                             N053.03.39.000 W002.51.13.000 N053.01.23.000 W002.54.31.000
                             N053.01.23.000 W002.54.31.000 N053.00.57.589 W002.55.06.575
                             N053.00.57.589 W002.55.06.575 N053.00.29.299 W002.55.58.007
                             N053.00.29.299 W002.55.58.007 N053.00.03.807 W002.56.53.350
                             N053.00.03.807 W002.56.53.350 N052.59.57.000 W002.57.12.000
                             N052.59.57.000 W002.57.12.000 N053.12.58.000 W002.59.06.000
;2900ft
                             N053.11.51.000 W003.14.35.000 N053.19.02.000 W003.04.14.000
                             N053.19.02.000 W003.04.14.000 N053.12.58.000 W002.59.06.000
                             N053.12.58.000 W002.59.06.000 N052.59.57.000 W002.57.12.000
                             N052.59.57.000 W002.57.12.000 N052.59.41.308 W002.57.52.184
                             N052.59.41.308 W002.57.52.184 N052.59.21.972 W002.58.54.061
                             N052.59.21.972 W002.58.54.061 N052.59.05.948 W002.59.58.510
                             N052.59.05.948 W002.59.58.510 N052.58.53.356 W003.01.05.040
                             N052.58.53.356 W003.01.05.040 N052.58.44.292 W003.02.13.146
                             N052.58.44.292 W003.02.13.146 N052.58.38.827 W003.03.22.308
                             N052.58.38.827 W003.03.22.308 N052.58.39.000 W003.03.50.000
                             N052.58.39.000 W003.03.50.000 N052.58.39.927 W003.03.46.417
                             N052.58.39.927 W003.03.46.417 N052.59.02.000 W003.03.23.038
                             N052.59.02.000 W003.03.23.038 N052.59.25.215 W003.03.02.945
                             N052.59.25.215 W003.03.02.945 N052.59.49.394 W003.02.46.293
                             N052.59.49.394 W003.02.46.293 N053.00.14.354 W003.02.33.208
                             N053.00.14.354 W003.02.33.208 N053.00.39.906 W003.02.23.790
                             N053.00.39.906 W003.02.23.790 N053.01.05.853 W003.02.18.111
                             N053.01.05.853 W003.02.18.111 N053.01.32.000 W003.02.16.213
                             N053.01.32.000 W003.02.16.213 N053.01.58.147 W003.02.18.111
                             N053.01.58.147 W003.02.18.111 N053.02.24.094 W003.02.23.790
                             N053.02.24.094 W003.02.23.790 N053.02.49.646 W003.02.33.208
                             N053.02.49.646 W003.02.33.208 N053.03.14.606 W003.02.46.293
                             N053.03.14.606 W003.02.46.293 N053.03.38.785 W003.03.02.945
                             N053.03.38.785 W003.03.02.945 N053.04.02.000 W003.03.23.038
                             N053.04.02.000 W003.03.23.038 N053.04.24.073 W003.03.46.417
                             N053.04.24.073 W003.03.46.417 N053.04.44.836 W003.04.12.907
                             N053.04.44.836 W003.04.12.907 N053.05.04.132 W003.04.42.304
                             N053.05.04.132 W003.04.42.304 N053.05.21.813 W003.05.14.386
                             N053.05.21.813 W003.05.14.386 N053.05.37.746 W003.05.48.907
                             N053.05.37.746 W003.05.48.907 N053.05.51.808 W003.06.25.606
                             N053.05.51.808 W003.06.25.606 N053.06.03.892 W003.07.04.203
                             N053.06.03.892 W003.07.04.203 N053.06.13.908 W003.07.44.405
                             N053.06.13.908 W003.07.44.405 N053.06.21.778 W003.08.25.904
                             N053.06.21.778 W003.08.25.904 N053.06.27.442 W003.09.08.386
                             N053.06.27.442 W003.09.08.386 N053.06.30.858 W003.09.51.528
                             N053.06.30.858 W003.09.51.528 N053.06.32.000 W003.10.35.000
                             N053.06.32.000 W003.10.35.000 N053.06.30.858 W003.11.18.472
                             N053.06.30.858 W003.11.18.472 N053.06.27.442 W003.12.01.614
                             N053.06.27.442 W003.12.01.614 N053.06.21.778 W003.12.44.096
                             N053.06.21.778 W003.12.44.096 N053.06.13.908 W003.13.25.595
                             N053.06.13.908 W003.13.25.595 N053.06.03.892 W003.14.05.797
                             N053.06.03.892 W003.14.05.797 N053.05.51.808 W003.14.44.394
                             N053.05.51.808 W003.14.44.394 N053.05.37.746 W003.15.21.093
                             N053.05.37.746 W003.15.21.093 N053.05.21.813 W003.15.55.614
                             N053.05.21.813 W003.15.55.614 N053.05.04.132 W003.16.27.696
                             N053.05.04.132 W003.16.27.696 N053.04.44.836 W003.16.57.093
                             N053.04.44.836 W003.16.57.093 N053.04.27.000 W003.17.18.000
                             N053.04.27.000 W003.17.18.000 N053.04.32.767 W003.17.24.384
                             N053.04.32.767 W003.17.24.384 N053.05.13.649 W003.17.39.483
                             N053.05.13.649 W003.17.39.483 N053.05.55.165 W003.17.48.588
                             N053.05.55.165 W003.17.48.588 N053.06.37.000 W003.17.51.631
                             N053.06.37.000 W003.17.51.631 N053.07.18.835 W003.17.48.588
                             N053.07.18.835 W003.17.48.588 N053.08.00.351 W003.17.39.483
                             N053.08.00.351 W003.17.39.483 N053.08.41.233 W003.17.24.384
                             N053.08.41.233 W003.17.24.384 N053.09.21.170 W003.17.03.407
                             N053.09.21.170 W003.17.03.407 N053.09.59.857 W003.16.36.712
                             N053.09.59.857 W003.16.36.712 N053.10.37.000 W003.16.04.501
                             N053.10.37.000 W003.16.04.501 N053.11.12.317 W003.15.27.019
                             N053.11.12.317 W003.15.27.019 N053.11.45.538 W003.14.44.553
                             N053.11.45.538 W003.14.44.553 N053.11.51.000 W003.14.35.000
                             N053.11.51.000 W003.14.35.000 N053.11.51.000 W003.14.35.000
;3100ft
;dodgy 530450N 0031728W
;dodgy arc clockwise 5nm centre 530205N 0031032W
;dodgy 525838N 0030434W
                             N053.04.27.000 W003.17.18.000 N053.04.44.836 W003.16.57.093
                             N053.04.44.836 W003.16.57.093 N053.05.04.132 W003.16.27.696
                             N053.05.04.132 W003.16.27.696 N053.05.21.813 W003.15.55.614
                             N053.05.21.813 W003.15.55.614 N053.05.37.746 W003.15.21.093
                             N053.05.37.746 W003.15.21.093 N053.05.51.808 W003.14.44.394
                             N053.05.51.808 W003.14.44.394 N053.06.03.892 W003.14.05.797
                             N053.06.03.892 W003.14.05.797 N053.06.13.908 W003.13.25.595
                             N053.06.13.908 W003.13.25.595 N053.06.21.778 W003.12.44.096
                             N053.06.21.778 W003.12.44.096 N053.06.27.442 W003.12.01.614
                             N053.06.27.442 W003.12.01.614 N053.06.30.858 W003.11.18.472
                             N053.06.30.858 W003.11.18.472 N053.06.32.000 W003.10.35.000
                             N053.06.32.000 W003.10.35.000 N053.06.30.858 W003.09.51.528
                             N053.06.30.858 W003.09.51.528 N053.06.27.442 W003.09.08.386
                             N053.06.27.442 W003.09.08.386 N053.06.21.778 W003.08.25.904
                             N053.06.21.778 W003.08.25.904 N053.06.13.908 W003.07.44.405
                             N053.06.13.908 W003.07.44.405 N053.06.03.892 W003.07.04.203
                             N053.06.03.892 W003.07.04.203 N053.05.51.808 W003.06.25.606
                             N053.05.51.808 W003.06.25.606 N053.05.37.746 W003.05.48.907
                             N053.05.37.746 W003.05.48.907 N053.05.21.813 W003.05.14.386
                             N053.05.21.813 W003.05.14.386 N053.05.04.132 W003.04.42.304
                             N053.05.04.132 W003.04.42.304 N053.04.44.836 W003.04.12.907
