EGNR Hawarden              S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Hold Point Lines
N053.10.41.894 W002.58.51.838 N053.10.42.626 W002.58.50.748 smrHPTS ;A1
N053.10.43.977 W002.58.55.545 N053.10.44.664 W002.58.54.467 smrHPTS ;A2
N053.10.35.615 W002.58.40.050 N053.10.36.156 W002.58.39.231 smrHPTS ;B1
N053.11.03.747 W002.58.00.566 N053.11.04.052 W002.57.59.959 smrHPTS ;C1
N053.11.03.096 W002.57.59.817 N053.11.03.320 W002.57.59.112 smrHPTS ;C2
N053.10.37.586 W002.58.59.377 N053.10.37.527 W002.58.56.924 smrHPTS ;D1
N053.10.44.117 W002.58.57.390 N053.10.44.128 W002.58.58.186 smrHPTS ;D2
N053.10.42.219 W002.58.30.243 N053.10.42.759 W002.58.29.433 smrHPTS ;E1
N053.10.49.062 W002.58.35.744 N053.10.49.511 W002.58.35.084 smrHPTS ;G1
N053.10.51.062 W002.58.39.585 N053.10.51.594 W002.58.38.790 smrHPTS ;G2
N053.10.43.810 W002.58.51.882 N053.10.43.587 W002.58.51.449 smrHPTS ;J1
N053.10.51.165 W002.58.41.271 N053.10.50.908 W002.58.40.795 smrHPTS ;J2
N053.10.52.610 W002.58.39.134 N053.10.52.378 W002.58.38.727 smrHPTS ;J3
N053.11.05.101 W002.58.31.642 N053.11.04.905 W002.58.31.126 smrHPTS ;J4
N053.11.06.608 W002.58.09.866 N053.11.06.130 W002.58.09.645 smrHPTS ;N1
N053.11.04.255 W002.58.25.355 N053.11.04.717 W002.58.25.218 smrHPTS ;N2
N053.11.05.325 W002.58.29.762 N053.11.05.743 W002.58.29.439 smrHPTS ;N3
