;Runway 08
N054.04.35.879 W004.41.26.365 N054.03.00.832 W004.59.58.734
N054.04.44.785 W004.41.28.574 N054.04.26.973 W004.41.24.156
N054.04.36.144 W004.43.09.757 N054.04.18.332 W004.43.05.339
N054.04.27.504 W004.44.50.928 N054.04.09.691 W004.44.46.510
N054.04.27.769 W004.46.34.296 N054.03.52.144 W004.46.25.461
N054.04.10.222 W004.48.13.235 N054.03.52.410 W004.48.08.818
N054.04.01.582 W004.49.54.371 N054.03.43.769 W004.49.49.954
N054.03.52.941 W004.51.35.495 N054.03.35.129 W004.51.31.078
N054.03.44.300 W004.53.16.608 N054.03.26.488 W004.53.12.191
N054.03.44.566 W004.54.59.917 N054.03.08.941 W004.54.51.084
N054.03.27.019 W004.56.38.798 N054.03.09.207 W004.56.34.382
N054.03.18.378 W004.58.19.875 N054.03.00.566 W004.58.15.460
N054.03.09.738 W005.00.00.941 N054.02.51.925 W004.59.56.526
;Runway 26
N054.05.30.261 W004.33.22.436 N054.07.47.821 W004.15.00.610
N054.05.39.063 W004.33.25.634 N054.05.21.459 W004.33.19.238
N054.05.51.569 W004.31.45.553 N054.05.33.964 W004.31.39.155
N054.06.04.074 W004.30.05.454 N054.05.46.469 W004.29.59.056
N054.06.25.382 W004.28.28.538 N054.05.50.172 W004.28.15.741
N054.06.29.085 W004.26.45.207 N054.06.11.480 W004.26.38.808
N054.06.41.590 W004.25.05.058 N054.06.23.986 W004.24.58.658
N054.06.54.096 W004.23.24.892 N054.06.36.491 W004.23.18.492
N054.07.06.601 W004.21.44.709 N054.06.48.997 W004.21.38.309
N054.07.27.909 W004.20.07.711 N054.06.52.700 W004.19.54.909
N054.07.31.612 W004.18.24.294 N054.07.14.007 W004.18.17.893
N054.07.44.117 W004.16.44.061 N054.07.26.513 W004.16.37.659
N054.07.56.623 W004.15.03.812 N054.07.39.018 W004.14.57.409
