;Runway 07
N055.01.15.718 W001.45.12.389 N054.57.45.877 W001.58.23.083
N055.01.07.506 W001.45.06.777 N055.01.23.930 W001.45.18.002
N055.00.44.190 W001.46.34.632 N055.01.00.614 W001.46.45.857
N055.00.20.875 W001.48.02.487 N055.00.37.299 W001.48.13.712
N054.59.57.559 W001.49.30.342 N055.00.13.983 W001.49.41.566
N054.59.34.243 W001.50.58.196 N054.59.50.667 W001.51.09.421
N054.59.10.928 W001.52.26.051 N054.59.27.351 W001.52.37.276
N054.58.47.612 W001.53.53.906 N054.59.04.036 W001.54.05.131
N054.58.24.296 W001.55.21.761 N054.58.40.720 W001.55.32.986
N054.58.00.980 W001.56.49.616 N054.58.17.404 W001.57.00.841
N054.57.37.665 W001.58.17.471 N054.57.54.088 W001.58.28.696
;Runway 25
N055.03.17.091 W001.37.35.050 N055.06.46.932 W001.24.24.356
N055.03.25.303 W001.37.40.662 N055.03.08.879 W001.37.29.437
N055.03.48.619 W001.36.12.807 N055.03.32.195 W001.36.01.582
N055.04.11.934 W001.34.44.952 N055.03.55.510 W001.34.33.727
N055.04.35.250 W001.33.17.097 N055.04.18.826 W001.33.05.873
N055.04.58.566 W001.31.49.243 N055.04.42.142 W001.31.38.018
N055.05.21.881 W001.30.21.388 N055.05.05.458 W001.30.10.163
N055.05.45.197 W001.28.53.533 N055.05.28.773 W001.28.42.308
N055.06.08.513 W001.27.25.678 N055.05.52.089 W001.27.14.453
N055.06.31.829 W001.25.57.823 N055.06.15.405 W001.25.46.598
N055.06.55.144 W001.24.29.968 N055.06.38.721 W001.24.18.743
