ASGEB N055.10.57.540 W001.29.20.760
ETSES N054.42.35.150 W001.41.43.550
ERUXI N054.50.19.480 W001.57.56.180
GOKOV N054.08.24.000 W001.52.02.053
IRKOR N054.24.15.037 W001.47.03.099
KUSEG N055.02.42.680 W002.00.24.820
NITUD N054.48.54.940 W001.53.14.140
NT07F N054.59.49.010 W001.50.37.350
NT07I N054.58.10.420 W001.56.45.550
NT25F N055.04.44.990 W001.32.01.830
NTE05 N055.04.46.740 W001.31.55.150
NTM01 N055.04.07.750 W001.34.23.020
NTM02 N055.00.49.860 W001.46.49.240
NTS01 N054.46.48.850 W001.55.41.417
NTS02 N054.52.02.800 W001.38.31.983
NTS08 N054.55.33.930 W001.44.40.110
NTS12 N054.58.30.520 W001.31.56.790
NTW02 N055.01.23.260 W001.44.43.750
NTW03 N055.00.44.970 W001.47.07.720
NTW04 N054.56.00.820 W001.58.04.580
RW07 N055.02.03.917 W001.42.27.800
RW25 N055.02.50.767 W001.40.51.267
SUPIG N055.06.24.810 W001.25.42.120
UPMOP N055.01.31.690 W001.21.46.790
XODRU N054.32.07.074 W001.44.34.030
