; NEWCASTLE STANDS
N055.02.08.820:W001.42.35.040:EGNT Stands:1
N055.02.10.100:W001.42.34.860:EGNT Stands:2
N055.02.12.730:W001.42.30.350:EGNT Stands:3
N055.02.12.640:W001.42.28.130:EGNT Stands:4
N055.02.12.540:W001.42.25.910:EGNT Stands:5
N055.02.12.460:W001.42.23.740:EGNT Stands:6
N055.02.12.640:W001.42.22.470:EGNT Stands:7
N055.02.13.170:W001.42.22.230:EGNT Stands:8
N055.02.13.530:W001.42.23.090:EGNT Stands:9
N055.02.13.540:W001.42.24.270:EGNT Stands:10
N055.02.13.680:W001.42.27.490:EGNT Stands:11
N055.02.14.350:W001.42.30.240:EGNT Stands:12
N055.02.20.270:W001.42.25.880:EGNT Stands:13
N055.02.20.180:W001.42.23.690:EGNT Stands:14
N055.02.19.930:W001.42.21.330:EGNT Stands:15
N055.02.20.270:W001.42.20.680:EGNT Stands:16
N055.02.20.950:W001.42.20.590:EGNT Stands:17
N055.02.22.580:W001.42.20.550:EGNT Stands:18
N055.02.25.950:W001.42.15.740:EGNT Stands:19
N055.02.26.880:W001.42.15.700:EGNT Stands:20
N055.02.27.020:W001.42.06.600:EGNT Stands:21
N055.02.25.130:W001.42.06.560:EGNT Stands:22
N055.02.23.590:W001.42.06.750:EGNT Stands:23
N055.02.21.910:W001.42.07.040:EGNT Stands:24
N055.02.19.740:W001.42.06.900:EGNT Stands:25
N055.02.20.410:W001.42.06.010:EGNT Stands:25L
N055.02.19.170:W001.42.06.160:EGNT Stands:25R
N055.02.13.659:W001.42.22.247:EGNT Stands:30
N055.02.07.998:W001.42.33.428:EGNT Stands:31
N055.02.19.216:W001.42.31.575:EGNT Stands:32L
N055.02.19.118:W001.42.29.013:EGNT Stands:32R
N055.02.02.026:W001.41.56.246:EGNT Stands:H
N055.02.03.068:W001.41.52.647:EGNT Stands:H
N055.02.02.009:W001.41.51.730:EGNT Stands:50
N055.02.01.170:W001.41.51.780:EGNT Stands:51
N055.02.00.200:W001.41.51.190:EGNT Stands:52
N055.02.00.340:W001.41.56.790:EGNT Stands:53
N055.02.01.420:W001.41.56.213:EGNT Stands:54
N055.02.02.730:W001.41.31.630:EGNT Stands:60
N055.02.04.000:W001.41.32.650:EGNT Stands:61
N055.02.05.330:W001.41.33.720:EGNT Stands:62
