;- NEWCASTLE HOLDING POINTS
N055.02.05.532:W001.42.24.192:EGNT Holding Points:A
N055.02.04.416:W001.42.22.140:EGNT Holding Points:A1
N055.02.05.856:W001.42.24.336:EGNT Holding Points:A2
N055.02.08.160:W001.42.25.990:EGNT Holding Points:A3
N055.02.12.190:W001.42.17.975:EGNT Holding Points:A4
N055.02.19.165:W001.42.16.229:EGNT Holding Points:A5
N055.02.09.960:W001.42.04.320:EGNT Holding Points:B
N055.02.10.320:W001.42.12.348:EGNT Holding Points:B2
N055.02.29.580:W001.40.54.768:EGNT Holding Points:CE
N055.02.29.472:W001.40.55.884:EGNT Holding Points:CW
N055.02.35.376:W001.40.24.744:EGNT Holding Points:D1
N055.02.37.932:W001.40.28.452:EGNT Holding Points:D2
N055.02.32.748:W001.40.49.224:EGNT Holding Points:D4
N055.02.29.184:W001.41.02.688:EGNT Holding Points:D5
N055.02.24.900:W001.41.18.924:EGNT Holding Points:D6
N055.02.23.496:W001.41.23.964:EGNT Holding Points:D7
N055.02.16.728:W001.42.11.160:EGNT Holding Points:D8
N055.02.07.980:W001.41.39.012:EGNT Holding Points:E
N055.02.03.840:W001.41.53.196:EGNT Holding Points:F
N055.02.09.580:W001.41.33.760:EGNT Holding Points:G
; NEWCASTLE STANDS
N055.02.08.820:W001.42.35.040:EGNT Stands:1
N055.02.10.100:W001.42.34.860:EGNT Stands:2
N055.02.12.730:W001.42.30.350:EGNT Stands:3
N055.02.12.640:W001.42.28.130:EGNT Stands:4
N055.02.12.540:W001.42.25.910:EGNT Stands:5
N055.02.12.460:W001.42.23.740:EGNT Stands:6
N055.02.12.640:W001.42.22.470:EGNT Stands:7
N055.02.13.170:W001.42.22.230:EGNT Stands:8
N055.02.13.530:W001.42.23.090:EGNT Stands:9
N055.02.13.540:W001.42.24.270:EGNT Stands:10
N055.02.13.680:W001.42.27.490:EGNT Stands:11
N055.02.14.350:W001.42.30.240:EGNT Stands:12
N055.02.20.270:W001.42.25.880:EGNT Stands:13
N055.02.20.180:W001.42.23.690:EGNT Stands:14
N055.02.19.930:W001.42.21.330:EGNT Stands:15
N055.02.20.270:W001.42.20.680:EGNT Stands:16
N055.02.20.950:W001.42.20.590:EGNT Stands:17
N055.02.22.580:W001.42.20.550:EGNT Stands:18
N055.02.25.950:W001.42.15.740:EGNT Stands:19
N055.02.26.880:W001.42.15.700:EGNT Stands:20
N055.02.27.020:W001.42.06.600:EGNT Stands:21
N055.02.25.130:W001.42.06.560:EGNT Stands:22
N055.02.23.590:W001.42.06.750:EGNT Stands:23
N055.02.21.910:W001.42.07.040:EGNT Stands:24
N055.02.19.740:W001.42.06.900:EGNT Stands:25
N055.02.20.410:W001.42.06.010:EGNT Stands:25L
N055.02.19.170:W001.42.06.160:EGNT Stands:25R
N055.02.13.659:W001.42.22.247:EGNT Stands:30
N055.02.07.998:W001.42.33.428:EGNT Stands:31
N055.02.19.216:W001.42.31.575:EGNT Stands:32L
N055.02.19.118:W001.42.29.013:EGNT Stands:32R
N055.02.02.026:W001.41.56.246:EGNT Stands:H
N055.02.03.068:W001.41.52.647:EGNT Stands:H
N055.02.02.009:W001.41.51.730:EGNT Stands:50
N055.02.01.170:W001.41.51.780:EGNT Stands:51
N055.02.00.200:W001.41.51.190:EGNT Stands:52
N055.02.00.340:W001.41.56.790:EGNT Stands:53
N055.02.01.420:W001.41.56.213:EGNT Stands:54
N055.02.02.730:W001.41.31.630:EGNT Stands:60
N055.02.04.000:W001.41.32.650:EGNT Stands:61
N055.02.05.330:W001.41.33.720:EGNT Stands:62
