;Runway 05
N054.30.08.030 W001.26.32.740 N054.23.22.213 W001.39.11.735
N054.29.36.287 W001.28.02.801 N054.29.18.609 W001.27.34.854
N054.28.55.705 W001.29.18.843 N054.28.38.028 W001.28.50.904
N054.28.15.124 W001.30.34.843 N054.27.57.446 W001.30.06.912
N054.27.34.542 W001.31.50.802 N054.27.16.864 W001.31.22.877
N054.26.53.960 W001.33.06.718 N054.26.36.283 W001.32.38.802
N054.26.11.169 W001.34.19.104 N054.26.04.540 W001.34.08.638
N054.25.30.587 W001.35.34.938 N054.25.23.958 W001.35.24.475
N054.24.50.005 W001.36.50.730 N054.24.43.376 W001.36.40.270
N054.24.09.424 W001.38.06.481 N054.24.02.795 W001.37.56.024
N054.23.31.052 W001.39.25.674 N054.23.13.374 W001.38.57.796
;Runway 23
N054.30.58.100 W001.24.59.010 N054.37.43.763 W001.12.15.311
N054.31.47.508 W001.23.56.811 N054.31.29.825 W001.23.28.849
N054.32.28.074 W001.22.40.592 N054.32.10.391 W001.22.12.623
N054.33.08.641 W001.21.24.332 N054.32.50.957 W001.20.56.355
N054.33.49.207 W001.20.08.029 N054.33.31.523 W001.19.40.045
N054.34.29.773 W001.18.51.685 N054.34.12.090 W001.18.23.692
N054.35.01.498 W001.17.21.298 N054.34.54.866 W001.17.10.797
N054.35.42.064 W001.16.04.864 N054.35.35.433 W001.15.54.361
N054.36.22.630 W001.14.48.389 N054.36.15.999 W001.14.37.883
N054.37.03.197 W001.13.31.871 N054.36.56.565 W001.13.21.362
N054.37.52.605 W001.12.29.327 N054.37.34.921 W001.12.01.295
