;- DURHAM TEES VALLEY HOLDING POINTS
N054.31.00.810:W001.25.03.860:EGNV Holding Points:A1
N054.31.05.810:W001.25.15.440:EGNV Holding Points:A2
N054.30.46.780:W001.25.38.490:EGNV Holding Points:A3
N054.30.39.420:W001.25.43.240:EGNV Holding Points:B
N054.30.21.590:W001.26.15.670:EGNV Holding Points:C
N054.30.11.370:W001.26.34.480:EGNV Holding Points:D1
N054.30.17.600:W001.26.32.460:EGNV Holding Points:D2
N054.30.35.810:W001.26.07.850:EGNV Holding Points:D3
;- DURHAM TEES VALLEY STANDS
N054.30.37.943:W001.26.07.346:EGNV Stands:1L
N054.30.38.149:W001.26.06.643:EGNV Stands:1
N054.30.38.382:W001.26.05.991:EGNV Stands:1R
N054.30.39.147:W001.26.03.944:EGNV Stands:2
N054.30.40.095:W001.26.00.952:EGNV Stands:3
N054.30.40.907:W001.25.58.429:EGNV Stands:4
N054.30.41.773:W001.25.56.055:EGNV Stands:5
N054.30.42.713:W001.25.53.302:EGNV Stands:5R
N054.30.41.041:W001.25.46.856:EGNV Stands:6
N054.30.41.914:W001.25.44.290:EGNV Stands:7
N054.30.42.874:W001.25.41.828:EGNV Stands:8
N054.30.43.681:W001.25.39.449:EGNV Stands:9
N054.30.53.719:W001.25.28.952:EGNV Stands:11
N054.30.56.211:W001.25.28.333:EGNV Stands:12
N054.30.58.517:W001.25.28.098:EGNV Stands:13
