EGNV Teesside SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N054.32.39.000 W001.42.08.000 N054.40.12.000 W001.28.00.000
                            N054.40.12.000 W001.28.00.000 N054.40.36.270 W001.27.11.196
                            N054.40.36.270 W001.27.11.196 N054.41.00.608 W001.26.12.415
                            N054.41.00.608 W001.26.12.415 N054.41.21.883 W001.25.10.170
                            N054.41.21.883 W001.25.10.170 N054.41.39.931 W001.24.04.938
                            N054.41.39.931 W001.24.04.938 N054.41.54.615 W001.22.57.218
                            N054.41.54.615 W001.22.57.218 N054.42.05.820 W001.21.47.530
                            N054.42.05.820 W001.21.47.530 N054.42.13.462 W001.20.36.409
                            N054.42.13.462 W001.20.36.409 N054.42.17.482 W001.19.24.400
                            N054.42.17.482 W001.19.24.400 N054.42.17.848 W001.18.12.592
                            N054.42.17.848 W001.18.12.592 N054.42.14.557 W001.16.59.939
                            N054.42.14.557 W001.16.59.939 N054.42.07.636 W001.15.48.597
                            N054.42.07.636 W001.15.48.597 N054.41.57.137 W001.14.38.579
                            N054.41.57.137 W001.14.38.579 N054.41.43.141 W001.13.30.423
                            N054.41.43.141 W001.13.30.423 N054.41.25.755 W001.12.24.653
                            N054.41.25.755 W001.12.24.653 N054.41.05.113 W001.11.21.772
                            N054.41.05.113 W001.11.21.772 N054.40.41.374 W001.10.22.261
                            N054.40.41.374 W001.10.22.261 N054.40.14.719 W001.09.26.576
                            N054.40.14.719 W001.09.26.576 N054.39.45.353 W001.08.35.141
                            N054.39.45.353 W001.08.35.141 N054.39.13.501 W001.07.48.348
                            N054.39.13.501 W001.07.48.348 N054.38.39.406 W001.07.06.552
                            N054.38.39.406 W001.07.06.552 N054.38.03.331 W001.06.30.692
                            N054.38.03.331 W001.06.30.692 N054.37.25.550 W001.05.59.174
                            N054.37.25.550 W001.05.59.174 N054.36.46.353 W001.05.34.100
                            N054.36.46.353 W001.05.34.100 N054.36.06.387 W001.05.15.322
                            N054.36.06.387 W001.05.15.322 N054.35.24.914 W001.05.02.111
                            N054.35.24.914 W001.05.02.111 N054.34.43.294 W001.04.55.431
                            N054.34.43.294 W001.04.55.431 N054.34.01.495 W001.04.55.373
                            N054.34.01.495 W001.04.55.373 N054.33.19.835 W001.05.00.927
                            N054.33.19.835 W001.05.00.927 N054.32.38.631 W001.05.13.503
                            N054.32.38.631 W001.05.13.503 N054.31.58.196 W001.05.31.310
                            N054.31.58.196 W001.05.31.310 N054.31.18.836 W001.05.55.562
                            N054.31.18.836 W001.05.55.562 N054.30.40.852 W001.06.25.618
                            N054.30.40.852 W001.06.25.618 N054.30.04.530 W001.07.01.246
                            N054.30.04.530 W001.07.01.246 N054.29.30.145 W001.07.42.173
                            N054.29.30.145 W001.07.42.173 N054.28.57.958 W001.08.28.838
                            N054.28.57.958 W001.08.28.838 N054.28.25.000 W001.09.26.000
                            N054.28.25.000 W001.09.26.000 N054.20.54.000 W001.23.33.000
                            N054.20.54.000 W001.23.33.000 N054.20.29.136 W001.24.22.972
                            N054.20.29.136 W001.24.22.972 N054.20.04.927 W001.25.21.420
                            N054.20.04.927 W001.25.21.420 N054.19.43.771 W001.26.23.247
                            N054.19.43.771 W001.26.23.247 N054.19.25.828 W001.27.27.985
                            N054.19.25.828 W001.27.27.985 N054.19.11.234 W001.28.35.144
                            N054.19.11.234 W001.28.35.144 N054.19.00.989 W001.29.44.217
                            N054.19.00.989 W001.29.44.217 N054.18.52.505 W001.30.54.683
                            N054.18.52.505 W001.30.54.683 N054.18.48.512 W001.32.06.115
                            N054.18.48.512 W001.32.06.115 N054.18.48.148 W001.33.17.663
                            N054.18.48.148 W001.33.17.663 N054.18.51.417 W001.34.29.993
                            N054.18.51.417 W001.34.29.993 N054.18.58.294 W001.35.39.780
                            N054.18.58.294 W001.35.39.780 N054.19.08.727 W001.36.49.174
                            N054.19.08.727 W001.36.49.174 N054.19.22.638 W001.37.56.757
                            N054.19.22.638 W001.37.56.757 N054.19.39.921 W001.39.02.189
                            N054.19.39.921 W001.39.02.189 N054.20.00.446 W001.40.04.466
                            N054.20.00.446 W001.40.04.466 N054.20.24.589 W001.41.03.626
                            N054.20.24.589 W001.41.03.626 N054.20.50.580 W001.41.59.513
                            N054.20.50.580 W001.41.59.513 N054.21.19.810 W001.42.50.320
                            N054.21.19.810 W001.42.50.320 N054.21.51.528 W001.43.37.430
                            N054.21.51.528 W001.43.37.430 N054.22.25.494 W001.44.18.863
                            N054.22.25.494 W001.44.18.863 N054.23.01.450 W001.44.55.461
                            N054.23.01.450 W001.44.55.461 N054.23.39.125 W001.45.26.555
                            N054.23.39.125 W001.45.26.555 N054.24.18.233 W001.45.51.906
                            N054.24.18.233 W001.45.51.906 N054.24.58.478 W001.46.11.316
                            N054.24.58.478 W001.46.11.316 N054.25.39.553 W001.46.24.634
                            N054.25.39.553 W001.46.24.634 N054.26.21.147 W001.46.31.753
                            N054.26.21.147 W001.46.31.753 N054.27.02.944 W001.46.32.614
                            N054.27.02.944 W001.46.32.614 N054.27.44.625 W001.46.27.204
                            N054.27.44.625 W001.46.27.204 N054.28.25.874 W001.46.15.561
                            N054.28.25.874 W001.46.15.561 N054.29.06.375 W001.45.57.766
                            N054.29.06.375 W001.45.57.766 N054.29.45.820 W001.45.33.952
                            N054.29.45.820 W001.45.33.952 N054.30.56.000 W001.44.32.000
                            N054.30.56.000 W001.44.32.000 N054.32.39.000 W001.42.08.000
                            ;2000
                            N054.36.10.000 W001.05.19.000 N054.36.15.819 W001.05.47.305
                            N054.36.15.819 W001.05.47.305 N054.36.19.748 W001.06.13.503
                            N054.36.19.748 W001.06.13.503 N054.36.22.338 W001.06.40.194
                            N054.36.22.338 W001.06.40.194 N054.36.23.570 W001.07.07.174
                            N054.36.23.570 W001.07.07.174 N054.36.23.433 W001.07.34.237
                            N054.36.23.433 W001.07.34.237 N054.36.21.928 W001.08.01.175
                            N054.36.21.928 W001.08.01.175 N054.36.19.689 W001.08.27.784
                            N054.36.19.689 W001.08.27.784 N054.36.14.875 W001.08.53.860
                            N054.36.14.875 W001.08.53.860 N054.36.09.379 W001.09.19.203
                            N054.36.09.379 W001.09.19.203 N054.36.02.623 W001.09.43.622
                            N054.36.02.623 W001.09.43.622 N054.35.54.659 W001.10.06.928
                            N054.35.54.659 W001.10.06.928 N054.35.45.548 W001.10.28.945
                            N054.35.45.548 W001.10.28.945 N054.35.35.358 W001.10.49.504
                            N054.35.35.358 W001.10.49.504 N054.35.24.168 W001.11.08.449
                            N054.35.24.168 W001.11.08.449 N054.35.12.642 W001.11.25.636
                            N054.35.12.642 W001.11.25.636 N054.34.59.137 W001.11.40.935
                            N054.34.59.137 W001.11.40.935 N054.34.45.486 W001.11.54.228
                            N054.34.45.486 W001.11.54.228 N054.34.31.215 W001.12.05.416
                            N054.34.31.215 W001.12.05.416 N054.34.16.433 W001.12.14.413
                            N054.34.16.433 W001.12.14.413 N054.34.01.253 W001.12.21.152
                            N054.34.01.253 W001.12.21.152 N054.33.45.790 W001.12.25.582
                            N054.33.45.790 W001.12.25.582 N054.33.30.162 W001.12.27.670
                            N054.33.30.162 W001.12.27.670 N054.33.14.487 W001.12.27.401
                            N054.33.14.487 W001.12.27.401 N054.32.58.886 W001.12.24.778
                            N054.32.58.886 W001.12.24.778 N054.32.43.477 W001.12.19.821
                            N054.32.43.477 W001.12.19.821 N054.32.28.378 W001.12.12.570
                            N054.32.28.378 W001.12.12.570 N054.32.13.702 W001.12.03.788
                            N054.32.13.702 W001.12.03.788 N054.31.53.000 W001.11.45.000
                            ;2400
                            N054.30.56.000 W001.44.32.000 N054.30.43.173 W001.43.54.542
                            N054.30.43.173 W001.43.54.542 N054.30.27.608 W001.43.18.401
                            N054.30.27.608 W001.43.18.401 N054.30.10.271 W001.42.44.743
                            N054.30.10.271 W001.42.44.743 N054.29.51.294 W001.42.13.823
                            N054.29.51.294 W001.42.13.823 N054.29.30.822 W001.41.45.877
                            N054.29.30.822 W001.41.45.877 N054.29.09.132 W001.41.21.116
                            N054.29.09.132 W001.41.21.116 N054.28.46.320 W001.40.59.729
                            N054.28.46.320 W001.40.59.729 N054.28.22.546 W001.40.41.878
                            N054.28.22.546 W001.40.41.878 N054.27.57.263 W001.40.27.695
                            N054.27.57.263 W001.40.27.695 N054.27.31.848 W001.40.17.289
                            N054.27.31.848 W001.40.17.289 N054.27.06.324 W001.40.10.736
                            N054.27.06.324 W001.40.10.736 N054.26.39.923 W001.40.08.841
                            N054.26.39.923 W001.40.08.841 N054.26.13.809 W001.40.09.351
                            N054.26.13.809 W001.40.09.351 N054.25.47.858 W001.40.14.525
                            N054.25.47.858 W001.40.14.525 N054.25.22.268 W001.40.23.566
                            N054.25.22.268 W001.40.23.566 N054.24.57.233 W001.40.36.402
                            N054.24.57.233 W001.40.36.402 N054.24.32.945 W001.40.52.934
                            N054.24.32.945 W001.40.52.934 N054.24.09.586 W001.41.13.344
                            N054.24.09.586 W001.41.13.344 N054.23.47.334 W001.41.36.549
                            N054.23.47.334 W001.41.36.549 N054.23.26.359 W001.42.03.298
                            N054.23.26.359 W001.42.03.298 N054.23.06.819 W001.42.33.783
                            N054.23.06.819 W001.42.33.783 N054.22.48.862 W001.43.05.661
                            N054.22.48.862 W001.43.05.661 N054.22.21.000 W001.44.13.000
                            ;2500
                            N054.20.29.000 W001.24.24.000 N054.26.32.000 W001.21.48.000
