;Runway 27
N052.49.55.728 W001.15.13.204 N052.50.12.320 W000.58.44.290
N052.50.13.692 W001.15.14.108 N052.49.37.761 W001.15.12.304
N052.49.41.264 W001.11.54.537 N052.50.17.196 W001.11.56.341
N052.49.44.673 W001.08.36.765 N052.50.20.605 W001.08.38.569
N052.50.23.923 W001.05.20.785 N052.49.47.991 W001.05.18.981
N052.49.51.218 W001.02.01.193 N052.50.27.149 W001.02.02.996
N052.50.30.285 W000.58.45.195 N052.49.54.353 W000.58.43.392
;Runway 09
N052.49.47.171 W001.24.06.615 N052.49.27.379 W001.40.35.198
N052.50.05.136 W001.24.07.519 N052.49.29.204 W001.24.05.716
N052.49.25.426 W001.27.23.454 N052.50.01.359 W001.27.25.257
N052.49.57.493 W001.30.42.984 N052.49.21.561 W001.30.41.179
N052.49.53.536 W001.34.00.699 N052.49.17.605 W001.33.58.896
N052.49.49.485 W001.37.18.403 N052.49.13.554 W001.37.16.600
N052.49.09.410 W001.40.34.298 N052.49.45.343 W001.40.36.101
