D038E N052.54.27.120 W001.13.52.840
D039S N052.36.19.560 W001.20.38.210
D039Y N052.41.01.700 W001.14.31.960
D095A N052.49.45.280 W001.16.03.620
D095B N052.49.42.560 W001.15.14.360
D116E N052.47.26.390 W001.11.15.200
D117G N052.46.24.800 W001.08.25.180
D125O N052.54.37.040 W001.19.54.180
D160D N052.59.29.010 W001.37.56.050
D160G N052.56.40.070 W001.36.14.430
D264A N052.49.47.770 W001.22.27.560
D338W N052.32.05.420 W001.20.56.190
DER09 N052.49.53.000 W001.18.23.960
DTY31 N052.39.29.150 W001.25.53.850
DTY37 N052.45.25.260 W001.29.54.050
HON30 N052.44.56.580 W001.09.25.760
NUTBA N052.38.49.000 W000.55.00.000
ODPIX N053.00.05.000 W001.15.55.000
POL5X N053.03.15.650 W001.19.25.990
TNT29 N052.43.58.730 W001.04.26.410
