;background
REGIONNAME East Midlands
smrGrass N052.48.20.236 W001.22.24.867
N052.48.25.510 W001.16.59.106
N052.51.03.520 W001.17.08.246
N052.51.01.679 W001.22.25.724
;main_apron
REGIONNAME East Midlands
smrGrey N052.49.36.964 W001.20.48.221
N052.49.32.038 W001.20.47.813
N052.49.32.245 W001.20.37.690
N052.49.32.468 W001.20.37.712
N052.49.32.479 W001.20.37.004
N052.49.33.073 W001.20.37.099
N052.49.33.060 W001.20.37.856
N052.49.34.475 W001.20.37.886
N052.49.34.503 W001.20.37.151
N052.49.35.101 W001.20.37.153
N052.49.35.100 W001.20.37.935
N052.49.36.726 W001.20.38.012
N052.49.36.682 W001.20.36.732
N052.49.37.348 W001.20.36.779
N052.49.37.335 W001.20.37.970
N052.49.39.448 W001.20.38.193
N052.49.39.462 W001.20.36.903
N052.49.40.090 W001.20.37.020
N052.49.40.132 W001.20.38.175
N052.49.42.589 W001.20.38.022
N052.49.43.546 W001.20.37.732
N052.49.43.934 W001.20.37.180
N052.49.44.116 W001.20.35.556
N052.49.44.491 W001.20.16.370
N052.49.44.422 W001.20.15.819
N052.49.44.162 W001.20.15.066
N052.49.43.365 W001.20.14.504
N052.49.40.659 W001.20.13.846
N052.49.40.321 W001.20.13.878
N052.49.39.932 W001.20.14.338
N052.49.39.454 W001.20.15.633
N052.49.41.636 W001.20.18.718
N052.49.37.687 W001.20.28.608
N052.49.34.899 W001.20.25.895
N052.49.35.395 W001.20.24.514
N052.49.34.778 W001.20.24.009
N052.49.38.252 W001.20.14.038
N052.49.37.932 W001.20.13.308
N052.49.35.715 W001.20.12.833
N052.49.35.316 W001.20.12.996
N052.49.35.137 W001.20.13.688
N052.49.35.396 W001.20.14.349
N052.49.34.779 W001.20.16.157
N052.49.33.904 W001.20.15.128
N052.49.34.460 W001.20.13.519
N052.49.34.122 W001.20.12.429
N052.49.31.102 W001.20.11.800
N052.49.30.587 W001.20.11.795
N052.49.30.151 W001.20.12.154
N052.49.28.529 W001.20.16.018
N052.49.27.347 W001.20.14.757
N052.49.29.026 W001.20.10.466
N052.49.43.061 W001.20.13.500
N052.49.43.443 W001.20.13.435
N052.49.43.905 W001.20.13.282
N052.49.44.260 W001.20.12.950
N052.49.44.366 W001.20.12.494
N052.49.44.168 W001.20.11.401
N052.49.43.917 W001.20.11.159
N052.49.36.432 W001.20.10.818
N052.49.36.508 W001.20.03.253
N052.49.43.564 W001.20.03.620
N052.49.43.439 W001.20.09.031
N052.49.43.585 W001.20.08.989
N052.49.44.048 W001.20.08.797
N052.49.44.340 W001.20.08.232
N052.49.44.619 W001.20.06.682
N052.49.44.686 W001.20.05.918
N052.49.44.757 W001.20.04.039
N052.49.44.846 W001.19.56.887
N052.49.44.740 W001.19.55.834
N052.49.44.567 W001.19.55.353
N052.49.44.407 W001.19.55.134
N052.49.44.181 W001.19.55.113
N052.49.44.075 W001.19.55.487
N052.49.43.886 W001.20.02.594
N052.49.36.044 W001.20.02.303
N052.49.36.803 W001.19.33.722
N052.49.44.135 W001.19.33.749
N052.49.44.734 W001.19.33.423
N052.49.45.189 W001.19.32.681
N052.49.45.297 W001.19.31.538
N052.49.45.469 W001.19.20.701
N052.49.45.457 W001.19.20.038
N052.49.45.309 W001.19.19.463
N052.49.44.975 W001.19.19.064
N052.49.44.574 W001.19.18.998
N052.49.44.307 W001.19.19.284
N052.49.44.039 W001.19.19.747
N052.49.43.918 W001.19.20.673
N052.49.43.835 W001.19.24.283
N052.49.39.581 W001.19.24.152
N052.49.40.179 W001.18.53.748
