ATLUH N052.56.38.030 W002.32.45.210
AXWOM N052.40.14.860 W002.52.31.290
DEZAF N052.58.24.000 W002.40.06.650
EDZUX N052.55.23.710 W002.45.23.420
LONUW N052.39.49.400 W002.45.18.550
ONUSE N052.55.24.450 W002.34.48.730
OS05I N052.42.22.800 W002.49.03.360
OS05F N052.44.39.220 W002.45.21.090
OS18I N052.55.24.200 W002.40.06.080
OS18F N052.52.12.310 W002.40.05.460
OS23F N052.50.46.770 W002.35.19.370
OS36I N052.39.49.890 W002.40.03.090
OS36F N052.43.19.760 W002.40.03.760
OSM01 N052.50.02.530 W002.36.32.020
OSM02 N052.53.12.560 W002.41.48.240
OSM03 N052.53.58.060 W002.49.07.810
OSM04 N052.51.07.450 W002.53.46.200
OSM05 N052.44.36.890 W002.40.04.010
OSM06 N052.44.37.150 W002.34.47.970
OSM07 N052.44.36.140 W002.47.28.430
OSM08 N052.47.46.040 W002.52.44.220
OSM09 N052.58.22.430 W002.52.49.350
OSM12 N052.50.37.200 W002.40.05.160
OSM13 N052.50.37.460 W002.34.48.390
OSM14 N052.51.55.120 W002.40.05.410
OSM15 N052.54.01.920 W002.43.36.010
OSM16 N052.54.01.270 W002.48.53.180
OSM17 N052.51.25.540 W002.54.57.170
OSM18 N052.45.36.310 W002.43.47.870
OSM19 N052.43.28.400 W002.40.15.290
OXBOL N052.40.07.910 W002.45.18.960
UBFUX N052.44.37.560 W002.52.48.140
USBOZ N052.52.21.450 W002.25.39.690
UXDAS N052.36.50.080 W002.40.02.520
WEXVA N052.39.50.150 W002.34.47.630
ZESFU N052.53.15.510 W002.31.14.730
