;Airfield Boundary
REGIONNAME Shawbury
smrMilBoundary N052.47.01.397 W002.40.00.794
N052.47.01.360 W002.40.08.174
N052.47.06.142 W002.40.08.209
N052.47.06.288 W002.40.09.557
N052.47.06.492 W002.40.10.580
N052.47.06.679 W002.40.11.301
N052.47.06.911 W002.40.11.994
N052.47.04.628 W002.40.12.209
N052.47.04.939 W002.40.25.395
N052.47.05.651 W002.40.27.398
N052.47.05.689 W002.40.29.506
N052.47.06.326 W002.40.30.644
N052.47.06.789 W002.40.31.141
N052.47.07.172 W002.40.31.332
N052.47.07.630 W002.40.31.452
N052.47.08.093 W002.40.31.306
N052.47.08.512 W002.40.31.080
N052.47.08.935 W002.40.30.600
N052.47.11.706 W002.40.26.214
N052.47.11.891 W002.40.26.157
N052.47.12.025 W002.40.26.293
N052.47.12.123 W002.40.26.566
N052.47.12.159 W002.40.26.915
N052.47.12.069 W002.40.27.572
N052.47.12.736 W002.40.30.441
N052.47.13.134 W002.40.31.275
N052.47.13.651 W002.40.31.705
N052.47.15.729 W002.40.32.392
N052.47.22.362 W002.40.33.773
N052.47.21.857 W002.40.41.394
N052.47.24.290 W002.40.40.404
N052.47.24.910 W002.40.40.233
N052.47.25.249 W002.40.40.313
N052.47.25.501 W002.40.40.427
N052.47.25.731 W002.40.40.698
N052.47.25.939 W002.40.41.109
N052.47.26.230 W002.40.41.728
N052.47.26.353 W002.40.42.297
N052.47.26.308 W002.40.42.851
N052.47.26.221 W002.40.43.407
N052.47.29.093 W002.40.49.861
N052.47.35.280 W002.40.47.772
N052.47.35.626 W002.40.47.299
N052.47.41.095 W002.40.46.132
N052.47.38.619 W002.41.00.428
N052.47.44.804 W002.41.03.303
N052.47.47.879 W002.40.50.397
N052.47.48.588 W002.40.44.377
N052.47.53.302 W002.40.45.414
N052.47.53.775 W002.40.45.698
N052.47.54.285 W002.40.45.929
N052.47.54.961 W002.40.46.108
N052.47.55.609 W002.40.46.118
N052.47.58.671 W002.40.45.711
N052.47.58.968 W002.40.45.713
