ANTUZ N053.24.40.670 W004.18.47.630
ATWOX N053.17.56.970 W004.50.59.930
AVLEZ N052.58.18.270 W004.35.25.250
DEVHO N053.05.06.070 W004.42.31.010
ETNUT N053.30.25.060 W004.29.29.960
EZLEM N053.24.59.170 W004.51.57.550
MEBZO N053.26.00.000 W004.38.43.740
ODHUZ N053.13.11.430 W004.10.52.690
OV01F N053.09.31.160 W004.33.21.830
OV01I N053.04.33.430 W004.34.16.510
OV13F N053.18.31.150 W004.39.14.530
OV13I N053.21.45.160 W004.45.35.800
OV19F N053.20.29.640 W004.31.20.370
OV19I N053.25.27.350 W004.30.25.220
OV31F N053.11.06.900 W004.24.44.930
OV31I N053.07.52.460 W004.18.25.830
OVM01 N053.11.59.300 W004.26.27.060
OVM02 N053.08.11.390 W004.31.50.540
OVM03 N053.11.25.460 W004.38.10.190
OVM04 N053.17.39.710 W004.37.33.400
OVM05 N053.13.51.300 W004.42.56.590
OVM06 N053.19.34.350 W004.31.30.610
OVM07 N053.20.06.050 W004.39.47.980
OVM08 N053.10.29.430 W004.33.11.120
OVM09 N053.11.02.030 W004.41.26.760
OZLUP N053.25.33.100 W004.40.10.700
OZWAP N053.04.04.330 W004.23.48.360
UZTOR N053.03.46.760 W004.22.44.570
VUPHO N053.03.43.520 W004.10.21.360
