N059.52.37.000 W001.22.15.000 N059.51.43.000 W001.38.06.000
N059.52.22.000 W001.22.12.000 N059.52.52.000 W001.22.18.000
N059.52.09.000 W001.26.09.000 N059.52.38.000 W001.26.16.000
N059.51.55.000 W001.30.07.000 N059.52.25.000 W001.30.14.000
N059.51.42.000 W001.34.05.000 N059.52.11.000 W001.34.11.000
N059.51.28.000 W001.38.02.000 N059.51.58.000 W001.38.09.000
N059.53.08.000 W001.13.08.000 N059.54.02.000 W000.57.17.000
N059.53.23.000 W001.13.11.000 N059.52.53.000 W001.13.05.000
N059.53.36.000 W001.09.14.000 N059.53.07.000 W001.09.07.000
N059.53.50.000 W001.05.16.000 N059.53.20.000 W001.05.09.000
N059.54.03.000 W001.01.18.000 N059.53.33.000 W001.01.12.000
N059.54.17.000 W000.57.21.000 N059.53.47.000 W000.57.14.000
;Runway 33 offset
N059.49.53.904 W001.17.27.009 N059.41.52.054 W001.18.10.518
N059.49.54.149 W001.17.05.273 N059.49.55.275 W001.17.48.697
N059.47.56.374 W001.17.56.289 N059.47.56.178 W001.17.15.554
N059.45.54.322 W001.17.29.142 N059.45.54.494 W001.18.10.301
N059.43.53.934 W001.17.40.817 N059.43.54.654 W001.18.17.713
N059.41.51.461 W001.17.52.451 N059.41.52.860 W001.18.27.259
N059.54.20.240 W001.20.09.092 N060.01.10.323 W001.30.16.421
N059.54.28.048 W001.19.53.282 N059.54.12.407 W001.20.24.801
N059.55.59.170 W001.22.08.247 N059.55.43.591 W001.22.39.639
N059.57.30.269 W001.24.23.347 N059.57.14.693 W001.24.54.688
N059.59.01.443 W001.26.38.183 N059.58.45.818 W001.27.09.706
N060.00.32.507 W001.28.53.168 N060.00.17.020 W001.29.24.528
N060.01.18.126 W001.30.00.727 N060.01.02.486 W001.30.32.119
