ABRUX N059.54.28.540 W000.49.21.410
ATLUG N060.01.19.700 W001.23.03.170
BENTY N059.46.15.000 W001.08.10.000
BODAM N059.55.06.000 W001.16.06.000
EKPOG N059.57.39.420 W001.32.53.980
ELPAP N059.55.33.080 W001.39.48.230
EVTEP N059.49.51.370 W000.53.08.180
IZACK N059.53.27.000 W001.01.13.000
LUTAB N059.58.32.580 W000.55.05.640
OKDET N059.47.10.810 W001.37.53.860
PB09F N059.52.07.440 W001.30.57.110
PB15F N059.56.40.900 W001.23.36.480
PB27F N059.53.38.150 W001.04.16.960
PB27I N059.54.01.910 W000.57.15.010
PBM01 N059.53.25.500 W001.08.03.670
PBM02 N059.48.34.110 W001.06.58.330
PBM03 N059.48.00.870 W001.16.36.630
PBM04 N059.52.15.830 W001.28.41.510
PBM05 N059.47.24.380 W001.27.37.350
PBM06 N059.48.00.720 W001.16.39.070
PBM07 N059.48.54.290 W001.12.07.540
PBM08 N059.45.59.280 W001.19.54.360
PBM09 N059.49.54.600 W001.25.41.560
SILOK N059.46.12.000 W001.29.00.000
TIRIK N059.32.19.000 W001.12.14.000
TISEV N059.51.40.130 W001.38.55.030
TUSUG N059.59.32.600 W001.27.50.920
TYSTI N059.22.24.000 W001.14.40.000
