;Grass BACKGROUND
REGIONNAME Wick
smrGreen N058.27.52.509 W003.06.22.405
N058.27.50.494 W003.06.25.379
N058.27.49.462 W003.06.22.709
N058.27.44.460 W003.06.29.884
N058.27.41.688 W003.06.22.613
N058.27.41.070 W003.06.23.141
N058.27.35.327 W003.06.08.650
N058.27.19.859 W003.06.22.363
N058.27.11.893 W003.06.09.546
N058.27.07.969 W003.06.02.280
N058.27.08.384 W003.06.01.250
N058.27.08.745 W003.06.01.060
N058.27.08.646 W003.06.00.474
N058.27.08.973 W003.06.00.013
N058.27.09.354 W003.05.59.198
N058.27.09.212 W003.05.58.864
N058.27.09.788 W003.05.58.155
N058.27.09.364 W003.05.56.097
N058.27.08.929 W003.05.53.360
N058.27.08.683 W003.05.51.152
N058.27.08.500 W003.05.49.185
N058.27.08.489 W003.05.49.105
N058.27.08.340 W003.05.46.554
N058.27.08.286 W003.05.44.848
N058.27.05.805 W003.05.44.196
N058.27.05.104 W003.05.42.831
N058.27.06.149 W003.05.35.679
N058.27.07.501 W003.05.27.144
N058.27.10.631 W003.05.18.321
N058.27.07.559 W003.05.09.742
N058.27.14.089 W003.05.04.106
N058.27.09.543 W003.04.47.526
N058.27.19.647 W003.04.38.749
N058.27.22.146 W003.04.46.866
N058.27.25.564 W003.04.55.733
N058.27.30.366 W003.04.51.626
N058.27.32.983 W003.05.02.352
N058.27.37.382 W003.05.20.709
N058.27.42.903 W003.05.42.338
N058.27.49.261 W003.05.55.529
N058.27.56.126 W003.06.13.008
N058.27.51.758 W003.06.19.323

;Disused Northern Taxiways
REGIONNAME Wick 
smrBBdisused N058.27.49.256 W003.06.17.361
N058.27.49.507 W003.06.17.595
N058.27.49.767 W003.06.17.675
N058.27.50.068 W003.06.17.563
N058.27.50.419 W003.06.17.145
N058.27.50.961 W003.06.15.944
N058.27.51.333 W003.06.15.123
N058.27.51.574 W003.06.14.166
N058.27.51.776 W003.06.13.113
N058.27.51.927 W003.06.11.388
N058.27.51.967 W003.06.10.027
N058.27.51.877 W003.06.09.010
N058.27.51.776 W003.06.08.167
N058.27.51.625 W003.06.07.361
N058.27.51.334 W003.06.06.268
N058.27.47.644 W003.05.56.720
N058.27.45.381 W003.05.52.248
N058.27.41.613 W003.05.44.730
N058.27.41.427 W003.05.44.467
N058.27.41.290 W003.05.44.485
N058.27.41.221 W003.05.44.597
N058.27.41.231 W003.05.44.860
N058.27.41.456 W003.05.45.798
N058.27.42.783 W003.05.51.298
N058.27.42.887 W003.05.51.916
N058.27.42.966 W003.05.52.534
N058.27.42.983 W003.05.53.518
N058.27.42.918 W003.05.54.582
N058.27.42.882 W003.05.55.014
N058.27.42.872 W003.05.55.348
N058.27.42.932 W003.05.55.681
N058.27.43.019 W003.05.55.965
N058.27.43.133 W003.05.56.216
N058.27.43.264 W003.05.56.200
N058.27.45.235 W003.05.54.512
N058.27.45.488 W003.05.55.278
N058.27.44.203 W003.05.56.410
N058.27.43.127 W003.05.57.320
N058.27.42.438 W003.05.57.921
N058.27.42.284 W003.05.58.089
N058.27.42.182 W003.05.58.314
N058.27.42.015 W003.05.59.748
N058.27.40.819 W003.05.56.757
N058.27.41.310 W003.05.57.033
N058.27.41.494 W003.05.57.129
N058.27.41.647 W003.05.57.057
N058.27.41.831 W003.05.56.888
N058.27.42.028 W003.05.56.536
N058.27.42.160 W003.05.56.143
N058.27.42.313 W003.05.55.539
N058.27.42.429 W003.05.54.792
N058.27.42.501 W003.05.54.102
N058.27.42.522 W003.05.53.484
N058.27.42.544 W003.05.52.953
N058.27.42.463 W003.05.52.548
N058.27.42.383 W003.05.52.213
N058.27.42.259 W003.05.52.004
N058.27.42.055 W003.05.51.752
N058.27.41.814 W003.05.51.627
N058.27.39.274 W003.05.51.662
N058.27.39.165 W003.05.51.732
N058.27.38.923 W003.05.51.886
N058.27.37.872 W003.05.48.946
N058.27.40.493 W003.05.48.877
N058.27.40.931 W003.05.48.822
N058.27.41.106 W003.05.48.766
N058.27.41.259 W003.05.48.599
N058.27.41.331 W003.05.48.432
N058.27.41.382 W003.05.48.071
N058.27.41.426 W003.05.47.752
N058.27.41.301 W003.05.47.202
