N057.14.26.000 W002.13.34.000 N057.21.51.000 W002.19.03.000
N057.14.20.000 W002.14.00.000 N057.14.31.000 W002.13.08.000
N057.16.12.000 W002.15.22.000 N057.16.23.000 W002.14.31.000
N057.18.03.000 W002.16.44.000 N057.18.14.000 W002.15.53.000
N057.19.55.000 W002.18.07.000 N057.20.06.000 W002.17.15.000
N057.21.46.000 W002.19.29.000 N057.21.57.000 W002.18.38.000
N057.09.47.000 W002.10.09.000 N057.02.21.000 W002.04.40.000
N057.09.53.000 W002.09.43.000 N057.09.42.000 W002.10.35.000
N057.08.01.000 W002.08.21.000 N057.07.50.000 W002.09.13.000
N057.06.10.000 W002.06.59.000 N057.05.59.000 W002.07.50.000
N057.04.18.000 W002.05.36.000 N057.04.07.000 W002.06.28.000
N057.02.27.000 W002.04.14.000 N057.02.16.000 W002.05.06.000
