;Holding Points
N057.12.26.470:W002.12.19.550:EGPD Holding Points:A1
N057.12.20.885:W002.12.15.841:EGPD Holding Points:A2
N057.12.16.960:W002.12.09.340:EGPD Holding Points:A3
N057.12.12.310:W002.12.02.060:EGPD Holding Points:A4
N057.12.11.910:W002.12.19.410:EGPD Holding Points:B1
N057.12.09.330:W002.12.21.760:EGPD Holding Points:C1
N057.12.13.876:W002.12.15.670:EGPD Holding Points:C2
N057.12.14.965:W002.12.07.430:EGPD Holding Points:C3
N057.12.10.110:W002.12.12.480:EGPD Holding Points:D1
N057.12.13.820:W002.12.04.060:EGPD Holding Points:D2
N057.11.54.955:W002.11.33.270:EGPD Holding Points:E1
N057.11.59.160:W002.11.38.870:EGPD Holding Points:E2
N057.12.12.095:W002.11.48.560:EGPD Holding Points:E3
N057.12.16.547:W002.11.52.175:EGPD Holding Points:E4
N057.12.21.158:W002.11.49.777:EGPD Holding Points:E5
N057.12.21.821:W002.11.55.414:EGPD Holding Points:E6
N057.12.24.460:W002.11.41.125:EGPD Holding Points:E7
N057.12.29.145:W002.11.48.970:EGPD Holding Points:E8
N057.12.34.140:W002.12.00.925:EGPD Holding Points:E9
N057.11.42.055:W002.11.42.790:EGPD Holding Points:M1
N057.12.09.465:W002.12.07.880:EGPD Holding Points:M3
N057.12.15.423:W002.12.15.383:EGPD Holding Points:M4
N057.12.19.757:W002.12.10.101:EGPD Holding Points:M5
N057.12.31.910:W002.12.14.660:EGPD Holding Points:M7
N057.12.24.644:W002.12.15.244:EGPD Holding Points:M6
