;Runway 05
N057.30.56.511 W004.06.20.979 N057.25.44.394 W004.17.37.966 
N057.31.03.348 W004.06.31.876 N057.30.49.673 W004.06.10.083 
N057.30.24.334 W004.07.56.672 N057.30.10.659 W004.07.34.885 
N057.29.45.319 W004.09.21.417 N057.29.31.644 W004.08.59.637 
N057.29.15.421 W004.11.00.628 N057.28.43.513 W004.10.09.823 
N057.28.27.290 W004.12.10.757 N057.28.13.615 W004.11.48.990 
N057.27.48.275 W004.13.35.352 N057.27.34.600 W004.13.13.592 
N057.27.09.260 W004.14.59.897 N057.26.55.585 W004.14.38.143 
N057.26.30.246 W004.16.24.392 N057.26.16.571 W004.16.02.644 
N057.26.00.348 W004.18.03.331 N057.25.28.439 W004.17.12.600 
;Runway 23
N057.34.10.837 W003.59.17.938 N057.39.22.827 W003.47.55.701 
N057.34.17.677 W003.59.28.846 N057.34.03.998 W003.59.07.030 
N057.34.56.676 W003.58.03.748 N057.34.42.997 W003.57.41.925 
N057.35.35.674 W003.56.38.599 N057.35.21.995 W003.56.16.769 
N057.36.23.793 W003.55.27.956 N057.35.51.875 W003.54.37.005 
N057.36.53.672 W003.53.48.148 N057.36.39.993 W003.53.26.305 
N057.37.32.671 W003.52.22.846 N057.37.18.992 W003.52.00.997 
N057.38.11.669 W003.50.57.493 N057.37.57.990 W003.50.35.638 
N057.38.50.668 W003.49.32.090 N057.38.36.989 W003.49.10.228 
N057.39.38.786 W003.48.21.214 N057.39.06.868 W003.47.30.188 
