;Runway 05/23
N055.54.01.000 W004.22.43.000 N055.59.29.000 W004.12.17.000
N055.54.12.000 W004.23.01.000 N055.53.50.000 W004.22.25.000
N055.55.34.000 W004.20.25.000 N055.55.12.000 W004.19.48.000
N055.56.56.000 W004.17.48.000 N055.56.34.000 W004.17.12.000
N055.58.18.000 W004.15.12.000 N055.57.56.000 W004.14.35.000
N055.59.40.000 W004.12.35.000 N055.59.18.000 W004.11.59.000
N055.50.27.000 W004.29.33.000 N055.44.59.000 W004.39.58.000
N055.50.16.000 W004.29.15.000 N055.50.38.000 W004.29.51.000
N055.48.54.000 W004.31.51.000 N055.49.16.000 W004.32.28.000
N055.47.32.000 W004.34.27.000 N055.47.54.000 W004.35.04.000
N055.46.10.000 W004.37.04.000 N055.46.32.000 W004.37.40.000
N055.44.48.000 W004.39.40.000 N055.45.10.000 W004.40.17.000
