D007J N056.02.36.930 W004.24.47.590
D033T N056.09.10.120 W004.07.53.640
D047Y N056.09.23.620 W003.54.24.940
D048I N055.58.17.400 W004.14.56.150
D048O N056.02.27.670 W004.07.15.770
D152N N055.39.59.970 W004.14.45.480
D157X N055.43.33.530 W004.19.54.280
D225L N055.43.36.000 W004.41.29.130
D225N N055.42.09.530 W004.43.55.930
D257J N055.49.51.890 W004.43.58.770
D282J N055.54.04.000 W004.44.11.860
D297I N055.56.10.590 W004.41.12.610
D297J N055.56.32.300 W004.42.46.170
D297X N055.54.29.220 W004.34.59.880
D314V N055.44.52.130 W003.49.38.440
D340G N055.58.45.060 W004.31.12.520
D340H N055.59.40.930 W004.31.50.910
D357I N056.01.24.410 W004.27.53.340
ELBAN N055.57.17.000 W004.30.16.000
PFS30 N055.31.38.920 W003.45.42.610
TLA29 N055.49.35.570 W003.58.46.530
TRN36 N055.53.55.210 W004.38.14.810
XETUN N055.48.50.000 W004.32.29.000
XEXUS N055.55.26.000 W004.20.10.000
