Glasgow N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
;Holding points
N55.52.42.599 W04.25.07.090 N55.52.42.631 W04.25.06.005 Yellow;a1
N55.52.39.081 W04.25.09.844 N55.52.38.628 W04.25.09.177 Yellow;a2
N55.52.16.535 W04.25.40.292 N55.52.16.304 W04.25.39.186 Yellow;a3
N55.52.36.299 W04.25.19.012 N55.52.36.625 W04.25.17.074 Yellow;b1
N55.52.04.829 W04.26.16.333 N55.52.04.529 W04.26.15.084 Yellow;d1
N55.51.57.745 W04.26.29.897 N55.51.58.482 W04.26.29.852 Yellow;e1
N55.51.49.885 W04.26.44.118 N55.51.50.278 W04.26.41.967 Yellow;f1
N55.51.46.930 W04.26.53.803 N55.51.47.591 W04.26.52.559 Yellow;g1
N55.51.45.040 W04.26.54.460 N55.51.45.790 W04.26.53.010 Yellow;g1a
N55.51.45.689 W04.26.48.507 N55.51.44.690 W04.26.47.022 Yellow;g2
N55.52.22.718 W04.26.18.481 N55.52.22.718 W04.26.18.476 Yellow;w1
N55.52.18.620 W04.26.08.376 N55.52.20.484 W04.26.08.341 Yellow;y1
N55.52.18.606 W04.25.48.600 N55.52.20.279 W04.25.48.678 Yellow;c1
N55.52.02.858 W04.26.39.908 N55.52.03.230 W04.26.39.226 Yellow;z1
;W Apron 
N055.51.48.276 W004.26.18.645 N055.51.50.077 W004.26.11.506 Teal
N055.51.49.727 W004.26.19.410 N055.51.48.276 W004.26.18.661 Teal
N055.51.48.276 W004.26.18.661 N055.51.47.945 W004.26.18.845 Teal
N055.51.47.945 W004.26.18.845 N055.51.47.819 W004.26.19.475 Teal
N055.51.47.819 W004.26.19.475 N055.51.48.125 W004.26.20.144 Teal
N055.51.48.125 W004.26.20.144 N055.51.49.928 W004.26.21.026 Teal
;South of taxiway G
N055.51.54.986 W004.26.27.960 N055.51.51.098 W004.26.35.322 Teal
N055.51.51.098 W004.26.35.322 N055.51.48.791 W004.26.38.728 Teal
N055.51.48.791 W004.26.38.728 N055.51.48.377 W004.26.38.702 Teal
N055.51.48.377 W004.26.38.702 N055.51.47.981 W004.26.38.537 Teal
N055.51.47.981 W004.26.38.537 N055.51.47.153 W004.26.39.988 Teal
N055.51.47.153 W004.26.39.988 N055.51.47.290 W004.26.41.384 Teal
N055.51.47.290 W004.26.41.384 N055.51.43.106 W004.26.50.532 Teal
N055.51.43.106 W004.26.50.532 N055.51.45.313 W004.26.54.362 Teal
N055.51.45.313 W004.26.54.362 N055.51.46.084 W004.26.53.574 Teal
N055.51.46.084 W004.26.53.574 N055.51.46.537 W004.26.53.423 Teal
N055.51.46.537 W004.26.53.423 N055.51.46.793 W004.26.53.592 Teal
N055.51.46.793 W004.26.53.592 N055.51.47.696 W004.26.55.216 Teal
;SW end - rwy 27
N055.51.47.696 W004.26.55.216 N055.51.49.352 W004.26.57.973 Olive
N055.51.49.352 W004.26.57.973 N055.52.00.545 W004.26.37.129 Olive
;West side taxiway Z
N055.52.00.545 W004.26.37.129 N055.52.00.880 W004.26.37.090 Teal
N055.52.00.880 W004.26.37.090 N055.52.01.214 W004.26.37.219 Teal
N055.52.01.214 W004.26.37.219 N055.52.01.510 W004.26.37.529 Teal
N055.52.01.510 W004.26.37.529 N055.52.03.598 W004.26.41.219 Teal
N055.52.03.598 W004.26.41.219 N055.52.03.893 W004.26.41.597 Teal
N055.52.03.893 W004.26.41.597 N055.52.04.267 W004.26.41.939 Teal
N055.52.04.267 W004.26.41.939 N055.52.04.703 W004.26.42.032 Teal
N055.52.04.703 W004.26.42.032 N055.52.05.117 W004.26.42.094 Teal
N055.52.05.117 W004.26.42.094 N055.52.18.761 W004.26.41.640 Teal
;Rwy 09
N055.52.18.761 W004.26.41.640 N055.52.20.478 W004.26.41.636 Olive
