;Apron Outline
REGIONNAME Glasgow 
smrSCOTaxiway N055.52.20.195 W004.25.59.964
N055.52.20.296 W004.26.14.821
N055.52.20.314 W004.26.15.481
N055.52.20.371 W004.26.15.928
N055.52.20.522 W004.26.16.409
N055.52.20.754 W004.26.16.789
N055.52.21.023 W004.26.17.001
N055.52.21.852 W004.26.17.605
N055.52.21.795 W004.26.18.008
N055.52.22.292 W004.26.18.315
N055.52.22.718 W004.26.18.494
N055.52.23.051 W004.26.18.550
N055.52.23.358 W004.26.18.472
N055.52.23.797 W004.26.18.282
N055.52.24.105 W004.26.18.047
N055.52.24.337 W004.26.17.633
N055.52.24.399 W004.26.17.376
N055.52.25.102 W004.26.11.525
N055.52.24.538 W004.26.11.290
N055.52.25.572 W004.26.03.870
N055.52.27.088 W004.26.04.633
N055.52.26.994 W004.26.05.248
N055.52.26.593 W004.26.05.069
N055.52.26.461 W004.26.05.069
N055.52.26.329 W004.26.05.170
N055.52.26.216 W004.26.05.349
N055.52.26.135 W004.26.05.606
N055.52.25.934 W004.26.06.914
N055.52.25.934 W004.26.07.239
N055.52.25.978 W004.26.07.462
N055.52.26.085 W004.26.07.652
N055.52.26.248 W004.26.07.787
N055.52.26.612 W004.26.07.943
N055.52.26.524 W004.26.08.592
N055.52.26.116 W004.26.08.413
N055.52.26.003 W004.26.08.413
N055.52.25.872 W004.26.08.480
N055.52.25.778 W004.26.08.603
N055.52.25.696 W004.26.08.793
N055.52.25.633 W004.26.09.084
N055.52.25.464 W004.26.10.359
N055.52.25.477 W004.26.10.638
N055.52.25.539 W004.26.10.884
N055.52.25.652 W004.26.11.007
N055.52.25.790 W004.26.11.108
N055.52.26.129 W004.26.11.275
N055.52.26.023 W004.26.11.972
N055.52.25.289 W004.26.11.626
N055.52.24.534 W004.26.17.956
N055.52.24.578 W004.26.18.180
N055.52.24.691 W004.26.18.291
N055.52.24.597 W004.26.19.029
N055.52.24.798 W004.26.19.655
N055.52.24.766 W004.26.19.969
N055.52.24.578 W004.26.20.259
N055.52.23.813 W004.26.19.924
