;Runway 24
N055.57.33.165 W003.20.42.780 N055.57.48.670 W003.19.56.891
N055.58.04.175 W003.19.10.991 N056.02.27.759 W003.06.09.124
N055.57.30.501 W003.21.42.508 N055.57.04.819 W003.21.14.812
N055.58.01.511 W003.20.10.741 N055.57.35.829 W003.19.43.040
N055.58.32.521 W003.18.38.934 N055.58.06.839 W003.18.11.227
N055.59.34.541 W003.15.35.197 N055.59.08.858 W003.15.07.477
N056.00.36.561 W003.12.31.296 N056.00.10.878 W003.12.03.564
N056.01.38.581 W003.09.27.231 N056.01.12.898 W003.08.59.487
N056.02.40.601 W003.06.23.002 N056.02.14.918 W003.05.55.245
;Runway 06
N055.56.26.472 W003.23.59.743 N055.56.10.953 W003.24.45.576
N055.55.55.435 W003.25.31.399 N055.51.31.622 W003.38.28.829
N055.56.54.827 W003.23.27.756 N055.56.29.153 W003.23.00.044
N055.56.23.790 W003.24.59.429 N055.55.58.116 W003.24.31.723
N055.55.52.754 W003.26.31.061 N055.55.27.079 W003.26.03.361
N055.54.50.680 W003.29.34.203 N055.54.25.005 W003.29.06.516
N055.53.48.606 W003.32.37.183 N055.53.22.932 W003.32.09.508
N055.52.46.533 W003.35.39.999 N055.52.20.858 W003.35.12.337
N055.51.44.459 W003.38.42.654 N055.51.18.785 W003.38.15.004
