CF06 N055.52.46.197 W003.34.49.574
CF24 N056.01.13.452 W003.09.52.984
CUMBO N055.56.34.000 W003.57.32.000
D025M N055.41.47.760 W003.11.49.550
D046G N056.02.26.790 W003.12.46.320
D050C N055.59.28.550 W003.17.34.000
D065A N055.57.34.840 W003.20.36.990
D081E N055.53.25.090 W003.39.05.250
D081J N055.52.36.810 W003.47.03.690
D239G N055.53.06.230 W003.33.51.320
D344S N055.48.18.520 W003.31.08.390
D344X N055.42.21.220 W003.27.53.290
GOW30 N055.59.47.970 W003.35.08.230
GOW35 N056.01.01.560 W003.26.30.230
MAVIX N055.50.50.000 W004.04.50.000
PHS48 N055.21.32.880 W003.11.41.500
SAB46 N056.05.54.510 W003.31.43.250
TL30A N055.58.59.930 W003.00.12.810
TLA30 N055.57.16.210 W002.59.27.820
TLA32 N056.01.23.680 W003.31.04.340
TLA33 N056.02.22.620 W003.31.23.160
TLA38 N056.06.33.690 W003.38.44.130

; Air Network Fixes
; VFR Management
PHARTH N055.56.38.000 W003.09.42.000
PHBATH N055.54.10.000 W003.38.25.000
PHCOBB N055.48.28.000 W003.34.00.000
PHDALK N055.53.36.000 W003.04.06.000
PHFORT N056.00.22.000 W003.24.14.000
PHHERM N055.55.30.000 W003.18.43.000
PHHILL N055.53.18.000 W003.12.30.000
PHKELT N056.08.05.000 W003.23.15.000
PHKIRKCALDY N056.06.50.000 W003.09.00.000
PHKIRKLISTON N055.57.20.000 W003.24.11.000
PHKIRKNEWTON N055.53.15.000 W003.25.05.000
PHLONG N056.02.56.000 W003.40.57.000
PHMUSS N055.56.50.000 W003.02.25.000
PHPENI N055.49.55.000 W003.13.25.000
PHPHIL N055.58.54.000 W003.30.43.000
PHPOLM N055.59.20.000 W003.41.00.000
PHWEST N055.45.10.000 W003.21.27.000
PH24OH N056.35.46.150 W003.36.28.470
PH06OH N056.34.54.060 W003.37.01.540

; Circuits
PH24UC N056.34.04.610 W003.42.00.140
PH24CD N056.36.22.000 W003.43.35.120
PH24DB N056.38.56.180 W003.34.31.570
PH06UC N056.36.27.690 W003.33.14.060
PH06CD N056.38.46.390 W003.35.13.030
PH06DB N056.36.35.050 W003.42.46.240
PH24MDN N056.37.54.780 W003.39.16.230
PH24MNS N056.32.36.800 W003.34.38.800

; IFR Standard Vectoring Patterns
; Runway 24 via TARTN
PH24TARTN1 N055.57.01.040 W002.58.14.095
PH24TARTN2 N056.02.13.220 W003.02.49.355
PH24TARTN3 N056.02.10.552 W003.07.02.417

; Runway 24 via STIRA
PH24STIRA1 N056.06.04.434 W003.21.57.999
PH24STIRA2 N056.06.11.265 W003.06.43.067
PH24STIRA3 N056.04.35.636 W003.04.46.569
PH24STIRA4 N056.02.44.639 W003.05.26.349

; Runway 06 via TARTN
PH06TARTN1 N055.45.06.403 W003.35.30.403
PH06TARTN2 N055.48.55.869 W003.39.56.784
PH06TARTN3 N055.51.35.961 W003.38.14.671

; Runway 06 via STIRA
PH06STIRA1 N055.56.44.853 W003.50.55.608
PH06STIRA2 N055.52.21.804 W003.46.36.972
PH06STIRA3 N055.51.19.031 W003.45.12.418
PH06STIRA4 N055.50.55.117 W003.40.04.044
