Edinburgh Local Area    S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                        N056.13.58.500 W003.44.57.050 N056.13.59.980 W003.32.59.019
                        N056.13.59.980 W003.32.59.019 N056.07.00.000 W003.29.38.000
                        N056.07.00.000 W003.29.38.000 N056.07.00.000 W002.56.08.000
                        N056.07.00.000 W002.56.08.000 N056.00.08.000 W002.48.49.000
                        N056.00.08.000 W002.48.49.000 N055.41.25.000 W002.55.10.000
                        N055.41.25.000 W002.55.10.000 N055.37.37.405 W003.37.51.590
                        N055.37.37.405 W003.37.51.590 N055.41.25.000 W003.43.24.000
                        N055.41.25.000 W003.43.24.000 N055.48.06.000 W003.54.11.000
                        N055.48.06.000 W003.54.11.000 N055.57.24.009 W003.54.17.008
                        N055.57.24.009 W003.54.17.008 N056.04.17.987 W003.50.25.566
                        N056.04.17.987 W003.50.25.566 N056.13.58.500 W003.44.57.050
