EGPH Edinburgh                S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Holding Points
N055.57.01.326 W003.21.13.571 N055.57.01.034 W003.21.12.647 smrYellow ;Q1
N055.56.55.939 W003.20.55.738 N055.56.55.533 W003.20.54.429 smrYellow ;S1
N055.56.35.890 W003.23.21.710 N055.56.36.401 W003.23.20.202 smrYellow ;A1
N055.56.34.724 W003.23.17.543 N055.56.33.724 W003.23.16.448 smrYellow ;A3
N055.56.33.216 W003.23.15.916 N055.56.32.518 W003.23.15.165 smrYellow ;V3
N055.56.34.170 W003.23.12.735 N055.56.33.582 W003.23.12.091 smrYellow ;V2
N055.56.35.587 W003.23.13.668 N055.56.34.920 W003.23.12.937 smrYellow ;A4
N055.56.37.491 W003.23.08.043 N055.56.36.845 W003.23.07.334 smrYellow ;A5
N055.56.39.477 W003.23.02.145 N055.56.38.842 W003.23.01.463 smrYellow ;A6
N055.56.43.612 W003.22.50.177 N055.56.42.927 W003.22.49.444 smrYellow ;A8
N055.56.46.518 W003.22.48.383 N055.56.46.999 W003.22.46.994 smrYellow ;B1
N055.56.45.705 W003.22.47.717 N055.56.46.303 W003.22.45.976 smrYellow ;B3
N055.56.46.343 W003.22.42.236 N055.56.45.662 W003.22.41.536 smrYellow ;A9
N055.56.51.051 W003.22.28.089 N055.56.50.394 W003.22.27.384 smrYellow ;A10
N055.56.51.958 W003.22.25.418 N055.56.51.305 W003.22.24.700 smrYellow ;A11
N055.56.57.402 W003.22.09.311 N055.56.56.615 W003.22.08.462 smrYellow ;A12
N055.56.56.287 W003.22.06.067 N055.56.57.305 W003.22.03.010 smrYellow ;E1
N055.56.58.980 W003.22.04.666 N055.56.58.136 W003.22.03.738 smrYellow :A13
N055.56.56.206 W003.22.01.344 N055.56.57.236 W003.22.02.441 smrYellow ;F2
N055.57.02.603 W003.21.54.015 N055.57.01.793 W003.21.53.113 smrYellow ;A14
N055.57.01.315 W003.21.51.062 N055.57.02.003 W003.21.49.020 smrYellow ;F1
N055.57.04.454 W003.21.49.164 N055.57.03.541 W003.21.48.165 smrYellow ;A15
N055.57.06.560 W003.21.49.156 N055.57.07.016 W003.21.47.830 smrYellow ;C1
N055.57.05.747 W003.21.48.529 N055.57.06.327 W003.21.46.791 smrYellow ;C3
N055.57.06.981 W003.21.41.060 N055.57.06.099 W003.21.40.108 smrYellow ;A16
N055.57.09.597 W003.21.33.329 N055.57.08.882 W003.21.32.554 smrYellow ;A17
N055.57.11.158 W003.21.28.741 N055.57.10.510 W003.21.28.044 smrYellow ;A18
N055.57.13.195 W003.21.22.717 N055.57.12.520 W003.21.21.985 smrYellow ;A19
N055.57.14.261 W003.21.19.605 N055.57.13.613 W003.21.18.903 smrYellow ;A20
N055.57.13.482 W003.21.16.490 N055.57.12.889 W003.21.15.854 smrYellow ;W2
N055.57.14.339 W003.21.14.044 N055.57.13.703 W003.21.13.362 smrYellow ;W3
N055.57.15.450 W003.21.16.587 N055.57.14.678 W003.21.15.756 smrYellow ;D3
N055.57.18.167 W003.21.17.067 N055.57.18.632 W003.21.15.688 smrYellow ;D1
N055.57.05.118 W003.21.40.387 N055.57.03.901 W003.21.41.078 smrYellow ;L1
N055.57.03.268 W003.21.34.571 N055.57.02.564 W003.21.35.261 smrYellow ;L2
N055.57.06.525 W003.21.35.821 N055.57.07.111 W003.21.34.084 smrYellow ;M1
N055.57.04.229 W003.21.29.571 N055.57.03.566 W003.21.30.220 smrYellow ;M2
N055.56.59.918 W003.21.31.852 N055.56.59.331 W003.21.29.925 smrYellow ;G1
N055.57.01.886 W003.21.21.961 N055.57.00.606 W003.21.23.352 smrYellow ;M3
N055.56.51.393 W003.20.59.645 N055.56.50.979 W003.20.58.283 smrYellow ;H1
N055.56.49.460 W003.21.05.648 N055.56.50.060 W003.21.05.038 smrYellow ;G2
N055.57.08.535 W003.21.29.867 N055.57.08.919 W003.21.28.751 smrYellow ;P1
N055.56.53.577 W003.22.04.632 N055.56.53.597 W003.22.02.527 smrYellow ;E2
N055.56.51.629 W003.20.51.556 N055.56.50.836 W003.20.50.717 smrYellow ;H6
N055.56.50.554 W003.20.54.956 N055.56.49.668 W003.20.54.061 smrYellow ;H5
N055.56.47.097 W003.21.05.293 N055.56.46.312 W003.21.04.451 smrYellow ;H3

