;Airport Boundary
REGIONNAME Edinburgh 
smrSCOTaxiway N055.56.29.340 W003.23.56.620
N055.56.26.515 W003.23.46.695
N055.56.27.020 W003.23.24.047
N055.56.29.748 W003.23.10.820
N055.56.29.907 W003.23.10.641
N055.56.32.875 W003.23.10.594
N055.56.33.155 W003.23.10.356
N055.56.37.241 W003.22.58.356
N055.56.46.446 W003.22.31.269
N055.56.48.508 W003.22.25.170
N055.56.48.132 W003.22.24.746
N055.56.48.250 W003.22.24.274
N055.56.48.029 W003.22.24.025
N055.56.49.027 W003.22.21.171
N055.56.49.466 W003.22.20.082
N055.56.49.857 W003.22.19.519
N055.56.49.979 W003.22.19.653
N055.56.50.439 W003.22.18.245
N055.56.51.220 W003.22.17.276
N055.56.51.057 W003.22.16.806
N055.56.51.473 W003.22.16.291
N055.56.52.023 W003.22.15.373
N055.56.52.406 W003.22.14.854
N055.56.52.861 W003.22.14.032
N055.56.53.044 W003.22.12.560
N055.56.53.225 W003.22.11.353
N055.56.53.204 W003.22.09.944
N055.56.52.678 W003.22.09.962
N055.56.52.674 W003.22.10.696
N055.56.52.510 W003.22.10.705
N055.56.52.460 W003.22.10.900
N055.56.52.426 W003.22.11.459
N055.56.52.351 W003.22.11.574
N055.56.51.690 W003.22.09.669
N055.56.49.557 W003.22.09.422
N055.56.49.079 W003.22.08.782
N055.56.46.967 W003.22.08.736
N055.56.46.674 W003.22.08.239
N055.56.46.231 W003.22.08.239
N055.56.45.883 W003.22.08.923
N055.56.45.589 W003.22.08.115
N055.56.45.311 W003.22.08.177
N055.56.44.812 W003.22.06.808
N055.56.44.722 W003.22.06.443
N055.56.44.731 W003.22.05.588
N055.56.44.496 W003.22.05.141
N055.56.44.159 W003.22.05.077
N055.56.43.616 W003.22.04.001
N055.56.43.655 W003.21.56.836
N055.56.43.959 W003.21.56.301
N055.56.44.233 W003.21.56.311
N055.56.44.467 W003.21.55.962
N055.56.44.489 W003.21.54.421
N055.56.44.555 W003.21.54.284
N055.56.52.114 W003.21.54.719
N055.56.55.620 W003.21.44.424
N055.56.55.047 W003.21.43.842
N055.56.54.800 W003.21.43.023
N055.56.55.214 W003.21.42.629
N055.56.55.973 W003.21.40.311
N055.56.57.840 W003.21.40.998
N055.56.58.810 W003.21.41.617
N055.57.00.487 W003.21.42.706
N055.57.00.904 W003.21.43.183
N055.57.01.366 W003.21.41.608
N055.56.59.266 W003.21.40.371
N055.56.58.525 W003.21.39.677
N055.56.56.936 W003.21.38.970
N055.56.55.678 W003.21.38.313
N055.56.52.992 W003.21.37.282
N055.56.49.457 W003.21.34.400
N055.56.49.657 W003.21.31.455
N055.56.49.097 W003.21.29.998
N055.56.48.954 W003.21.30.092
N055.56.48.611 W003.21.29.822
N055.56.48.914 W003.21.28.607
N055.56.48.874 W003.21.27.717
N055.56.48.077 W003.21.25.359
N055.56.48.005 W003.21.24.475
N055.56.48.732 W003.21.20.987
N055.56.49.990 W003.21.19.802
N055.56.47.729 W003.21.12.373
N055.56.46.989 W003.21.13.232
N055.56.46.708 W003.21.13.240
N055.56.45.810 W003.21.13.859
N055.56.45.523 W003.21.13.764
N055.56.45.216 W003.21.13.416
N055.56.44.970 W003.21.12.824
N055.56.44.815 W003.21.12.303
N055.56.43.271 W003.21.07.223
N055.56.43.885 W003.21.05.530
N055.56.43.210 W003.21.04.817
N055.56.48.468 W003.20.49.245
N055.56.48.511 W003.20.48.001
N055.56.52.579 W003.20.35.969
N055.56.55.770 W003.20.32.689
N055.57.00.678 W003.20.37.980
N055.57.02.012 W003.20.34.762
N055.57.02.453 W003.20.35.781
N055.57.02.976 W003.20.37.305
N055.57.03.317 W003.20.39.367
N055.57.03.356 W003.20.39.941
N055.57.01.737 W003.20.40.240
N055.57.01.510 W003.20.40.558
N055.57.01.813 W003.20.45.434
N055.57.01.827 W003.20.47.346
N055.57.01.725 W003.20.47.374
N055.57.01.848 W003.20.49.957
N055.57.01.077 W003.20.50.089
N055.57.01.103 W003.20.50.632
