;Runway 12/30
N055.31.57.000 W004.39.42.000 N055.36.07.000 W004.51.46.000
N055.31.44.000 W004.39.55.000 N055.32.10.000 W004.39.28.000
N055.32.47.000 W004.42.56.000 N055.33.12.000 W004.42.29.000
N055.33.49.000 W004.45.57.000 N055.34.15.000 W004.45.30.000
N055.34.51.000 W004.48.58.000 N055.35.17.000 W004.48.31.000
N055.35.54.000 W004.51.59.000 N055.36.19.000 W004.51.32.000
N055.29.06.000 W004.31.27.000 N055.24.56.000 W004.19.23.000
N055.29.19.000 W004.31.13.000 N055.28.53.000 W004.31.40.000
N055.28.16.000 W004.28.12.000 N055.27.51.000 W004.28.39.000
N055.27.14.000 W004.25.11.000 N055.26.48.000 W004.25.39.000
N055.26.11.000 W004.22.10.000 N055.25.46.000 W004.22.38.000
N055.25.09.000 W004.19.09.000 N055.24.43.000 W004.19.37.000
