AMSEK N055.25.20.850 W004.07.15.610
BAKAK N055.40.24.590 W004.47.19.750
BITPA N055.38.50.260 W004.27.49.550
ECCHO N055.17.41.400 W004.18.52.340
ESAUL N055.40.51.110 W004.35.54.360
GOSOB N055.24.55.770 W004.31.06.830
IBLOB N055.31.51.820 W004.56.26.540
MIJAG N055.36.49.100 W004.19.45.460
PK12F N055.34.01.160 W004.45.42.480
PK12I N055.36.08.210 W004.51.53.400
PK20F N055.35.05.650 W004.30.44.760
PK30F N055.25.24.550 W004.20.50.300
PKE01 N055.21.48.570 W004.10.05.640
PKE02 N055.27.25.590 W004.26.37.650
PKE03 N055.24.57.170 W004.19.03.160
PKE04 N055.23.27.430 W004.14.29.540
PKE05 N055.21.57.520 W004.09.56.220
PKM01 N055.32.56.740 W004.42.35.000
PKM02 N055.29.56.960 W004.45.47.130
PKM03 N055.24.38.950 W004.38.50.410
PKS01 N055.22.57.120 W004.21.44.640
PKS02 N055.20.20.590 W004.18.54.420
PKS03 N055.23.31.880 W004.33.37.160
PKS40 N055.15.05.770 W004.27.04.690
PKW01 N055.31.33.140 W004.38.32.340
PKW02 N055.27.47.400 W004.44.40.030
PKW03 N055.25.43.360 W004.45.12.760
PKW04 N055.28.40.590 W004.47.08.580
RELMO N055.38.11.960 W004.57.56.250
SKARV N055.22.47.660 W004.13.22.120
TYSOR N055.25.20.010 W004.51.43.480
