;Stands
N055.30.35.300:W004.36.40.700:EGPK Stands:1A
N055.30.36.320:W004.36.39.210:EGPK Stands:1
N055.30.37.070:W004.36.36.710:EGPK Stands:2
N055.30.38.400:W004.36.35.800:EGPK Stands:3
N055.30.39.360:W004.36.33.370:EGPK Stands:4 
N055.30.41.280:W004.36.32.610:EGPK Stands:5 
N055.30.42.930:W004.36.40.210:EGPK Stands:6 
N055.30.37.900:W004.36.25.970:EGPK Stands:7 
N055.30.33.730:W004.36.27.310:EGPK Stands:8 
N055.30.34.240:W004.36.32.660:EGPK Stands:9 
N055.30.35.920:W004.36.32.850:EGPK Stands:10 
N055.30.38.240:W004.36.31.040:EGPK Stands:11
;Holding Points
N055.30.28.180:W004.35.17.961:EGPK Holding Points:F
N055.30.55.813:W004.36.53.368:EGPK Holding Points:J
N055.30.46.681:W004.36.29.826:EGPK Holding Points:K
N055.30.29.977:W004.35.37.930:EGPK Holding Points:M
N055.30.26.422:W004.35.27.981:EGPK Holding Points:N
N055.30.17.704:W004.35.23.161:EGPK Holding Points:P
N055.30.11.137:W004.34.42.787:EGPK Holding Points:Q
N055.30.08.183:W004.34.41.732:EGPK Holding Points:R1
N055.30.21.278:W004.35.23.424:EGPK Holding Points:R2
N055.29.16.894:W004.35.20.170:EGPK Holding Points:S
N055.30.02.611:W004.34.50.664:EGPK Holding Points:S1
N055.30.32.158:W004.35.29.009:EGPK Holding Points:T
N055.29.51.585:W004.34.53.407:EGPK Holding Points:W
N055.29.38.238:W004.35.04.316:EGPK Holding Points:Y
