EGPL Benbecula                S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Twy A and Stand 1
N057.28.37.110 W007.22.25.505 N057.28.36.029 W007.22.28.508 smrYellow
N057.28.36.029 W007.22.28.508 N057.28.35.907 W007.22.28.775 smrYellow
N057.28.35.907 W007.22.28.775 N057.28.35.679 W007.22.29.243 smrYellow
N057.28.35.679 W007.22.29.243 N057.28.35.516 W007.22.29.499 smrYellow
N057.28.35.516 W007.22.29.499 N057.28.35.337 W007.22.29.666 smrYellow
N057.28.35.337 W007.22.29.666 N057.28.35.174 W007.22.29.756 smrYellow
N057.28.35.174 W007.22.29.756 N057.28.35.025 W007.22.29.786 smrYellow
N057.28.35.025 W007.22.29.786 N057.28.34.887 W007.22.29.771 smrYellow
N057.28.34.887 W007.22.29.771 N057.28.34.733 W007.22.29.711 smrYellow
N057.28.34.733 W007.22.29.711 N057.28.34.538 W007.22.29.529 smrYellow
N057.28.34.538 W007.22.29.529 N057.28.30.903 W007.22.24.928 smrYellow
N057.28.30.903 W007.22.24.928 N057.28.30.797 W007.22.24.758 smrYellow
N057.28.30.797 W007.22.24.758 N057.28.30.714 W007.22.24.622 smrYellow
N057.28.30.714 W007.22.24.622 N057.28.30.609 W007.22.24.394 smrYellow
N057.28.30.609 W007.22.24.394 N057.28.30.487 W007.22.24.122 smrYellow
N057.28.30.487 W007.22.24.122 N057.28.30.382 W007.22.23.774 smrYellow
N057.28.30.382 W007.22.23.774 N057.28.30.253 W007.22.23.321 smrYellow
N057.28.30.253 W007.22.23.321 N057.28.30.033 W007.22.22.145 smrYellow
N057.28.30.033 W007.22.22.145 N057.28.30.041 W007.22.22.010 smrYellow
N057.28.30.041 W007.22.22.010 N057.28.30.082 W007.22.21.829 smrYellow
N057.28.30.082 W007.22.21.829 N057.28.30.130 W007.22.21.708 smrYellow
N057.28.30.130 W007.22.21.708 N057.28.30.195 W007.22.21.647 smrYellow
N057.28.30.195 W007.22.21.647 N057.28.30.698 W007.22.21.345 smrYellow

;Stand 2
N057.28.30.037 W007.22.22.138 N057.28.29.791 W007.22.20.727 smrYellow
N057.28.29.791 W007.22.20.727 N057.28.29.801 W007.22.20.649 smrYellow
N057.28.29.801 W007.22.20.649 N057.28.29.811 W007.22.20.519 smrYellow
N057.28.29.811 W007.22.20.519 N057.28.29.839 W007.22.20.422 smrYellow
N057.28.29.839 W007.22.20.422 N057.28.29.887 W007.22.20.331 smrYellow
N057.28.29.887 W007.22.20.331 N057.28.29.933 W007.22.20.272 smrYellow
N057.28.29.933 W007.22.20.272 N057.28.30.478 W007.22.19.965 smrYellow

;Stand 3
N057.28.29.787 W007.22.20.714 N057.28.29.557 W007.22.19.393 smrYellow
N057.28.29.557 W007.22.19.393 N057.28.29.560 W007.22.19.288 smrYellow
N057.28.29.560 W007.22.19.288 N057.28.29.571 W007.22.19.170 smrYellow
N057.28.29.571 W007.22.19.170 N057.28.29.591 W007.22.19.072 smrYellow
N057.28.29.591 W007.22.19.072 N057.28.29.622 W007.22.19.000 smrYellow
N057.28.29.622 W007.22.19.000 N057.28.29.668 W007.22.18.921 smrYellow
N057.28.29.668 W007.22.18.921 N057.28.29.723 W007.22.18.881 smrYellow
N057.28.29.723 W007.22.18.881 N057.28.30.218 W007.22.18.599 smrYellow

;Stand 4
N057.28.29.557 W007.22.19.386 N057.28.29.300 W007.22.17.983 smrYellow
N057.28.29.300 W007.22.17.983 N057.28.29.310 W007.22.17.852 smrYellow
N057.28.29.310 W007.22.17.852 N057.28.29.328 W007.22.17.748 smrYellow
N057.28.29.328 W007.22.17.748 N057.28.29.363 W007.22.17.663 smrYellow
N057.28.29.363 W007.22.17.663 N057.28.29.387 W007.22.17.597 smrYellow
N057.28.29.387 W007.22.17.597 N057.28.29.436 W007.22.17.538 smrYellow
N057.28.29.436 W007.22.17.538 N057.28.29.485 W007.22.17.498 smrYellow
N057.28.29.485 W007.22.17.498 N057.28.29.975 W007.22.17.212 smrYellow

;Holding Point A
N057.28.33.003 W007.22.28.219 N057.28.33.320 W007.22.27.423 smrYellow
