ABDED N056.23.15.170 W003.23.56.230
IBVIM N056.23.03.500 W002.41.39.220
IVGEX N056.31.14.160 W003.23.49.250
MARIV N056.27.14.670 W003.23.52.420
MA09 N056.27.09.420 W003.04.01.970
OSVIB N056.27.01.350 W002.34.22.760
PNM01 N056.27.06.770 W002.55.57.530
PNM02 N056.32.20.900 W002.48.16.720
PNM03 N056.35.29.620 W002.55.17.550
PNM04 N056.27.11.770 W003.13.50.590
PNM05 N056.34.49.690 W003.13.47.440
PNM06 N056.34.48.050 W003.04.12.890
PN09F N056.27.12.520 W003.16.03.160
PN27I N056.27.03.350 W002.41.35.220
PN27F N056.27.05.410 W002.49.00.670
