Dundee  N00.00.00.000 W000.00.00.000 N00.00.00.000 W000.00.00.000
;
;Dundee
N56.27.11.588 W03.01.17.422 N56.27.11.036 W03.01.16.147 Yellow; C
N56.27.10.711 W03.01.09.197 N56.27.10.192 W03.01.07.973 Yellow; B
N56.27.11.046 W03.00.54.120 N56.27.11.057 W03.00.52.524 Yellow; A
N56.27.12.530 W03.00.50.741 N56.27.11.671 W03.00.50.764 Yellow; e
N56.27.12.873 W03.01.04.250 N56.27.12.660 W03.01.05.799 yellow; D
;
;- TAXIWAYS
N056.27.09.153 W003.02.13.480 N056.27.09.155 W003.02.13.893 Teal
N056.27.09.155 W003.02.13.893 N056.27.10.354 W003.02.13.901 Teal
N056.27.10.354 W003.02.13.901 N056.27.10.291 W003.02.11.665 Teal
N056.27.10.291 W003.02.11.665 N056.27.09.310 W003.02.09.937 Teal
N056.27.09.191 W003.01.52.435 N056.27.09.836 W003.01.52.435 Teal
N056.27.09.836 W003.01.52.435 N056.27.09.868 W003.01.50.009 Teal
N056.27.09.868 W003.01.50.009 N056.27.09.207 W003.01.48.967 Teal
N056.27.09.138 W003.01.41.585 N056.27.09.803 W003.01.40.891 Teal
N056.27.09.803 W003.01.40.891 N056.27.09.803 W003.01.38.655 Teal
N056.27.09.803 W003.01.38.655 N056.27.09.153 W003.01.37.905 Teal
N056.27.09.077 W003.01.22.288 N056.27.12.200 W003.01.16.387 Teal
N056.27.12.200 W003.01.16.387 N056.27.12.139 W003.01.06.481 Teal
N056.27.12.139 W003.01.06.481 N056.27.12.139 W003.01.06.481 Teal
N056.27.12.139 W003.01.06.481 N056.27.12.249 W003.01.05.633 Teal
N056.27.12.249 W003.01.05.633 N056.27.14.214 W003.01.06.521 Teal
N056.27.14.214 W003.01.06.521 N056.27.14.464 W003.01.05.005 Teal
N056.27.14.464 W003.01.05.005 N056.27.12.488 W003.01.04.085 Teal
N056.27.12.488 W003.01.04.085 N056.27.12.622 W003.01.02.880 Teal
N056.27.12.622 W003.01.02.880 N056.27.12.622 W003.01.02.880 Teal
N056.27.12.622 W003.01.02.880 N056.27.12.654 W003.01.00.497 Teal
N056.27.12.654 W003.01.00.497 N056.27.14.760 W003.01.00.489 Teal
N056.27.14.760 W003.01.00.489 N056.27.14.696 W003.00.52.017 Teal
N056.27.14.696 W003.00.52.017 N056.27.12.565 W003.00.51.996 Teal
N056.27.12.565 W003.00.51.996 N056.27.12.536 W003.00.49.692 Teal
N056.27.12.536 W003.00.49.692 N056.27.14.763 W003.00.49.826 Teal
N056.27.14.763 W003.00.49.826 N056.27.14.822 W003.00.48.239 Teal
N056.27.14.822 W003.00.48.239 N056.27.12.550 W003.00.48.125 Teal
N056.27.12.550 W003.00.48.125 N056.27.12.500 W003.00.46.209 Teal
N056.27.12.500 W003.00.46.209 N056.27.14.905 W003.00.46.179 Teal
N056.27.14.905 W003.00.46.179 N056.27.14.905 W003.00.44.612 Teal
N056.27.14.905 W003.00.44.612 N056.27.11.644 W003.00.44.624 Teal
N056.27.11.644 W003.00.44.624 N056.27.11.697 W003.00.52.483 Teal
N056.27.11.697 W003.00.52.483 N056.27.08.899 W003.00.52.894 Teal
N056.27.08.907 W003.00.54.493 N056.27.11.715 W003.00.54.055 Teal
N056.27.11.715 W003.00.54.055 N056.27.11.780 W003.01.02.682 Teal
N056.27.11.780 W003.01.02.682 N056.27.11.301 W003.01.06.005 Teal
N056.27.11.301 W003.01.06.005 N056.27.09.018 W003.01.10.215 Teal
N056.27.08.995 W003.01.12.452 N056.27.11.269 W003.01.08.314 Teal
N056.27.11.269 W003.01.08.314 N056.27.11.325 W003.01.15.747 Teal
N056.27.11.325 W003.01.15.747 N056.27.09.032 W003.01.19.973 Teal
N056.27.13.368 W003.01.02.933 N056.27.13.426 W003.01.03.014 Teal
N056.27.13.426 W003.01.03.014 N056.27.13.414 W003.01.03.042 Teal
N056.27.13.414 W003.01.03.042 N056.27.13.437 W003.01.03.103 Teal
N056.27.13.437 W003.01.03.103 N056.27.13.477 W003.01.03.127 Teal
N056.27.13.477 W003.01.03.127 N056.27.13.505 W003.01.03.186 Teal
N056.27.13.505 W003.01.03.186 N056.27.13.583 W003.01.03.214 Teal
N056.27.13.583 W003.01.03.214 N056.27.13.597 W003.01.03.234 Teal
N056.27.13.597 W003.01.03.234 N056.27.13.678 W003.01.03.236 Teal
N056.27.13.678 W003.01.03.236 N056.27.13.694 W003.01.03.238 Teal
N056.27.13.694 W003.01.03.238 N056.27.13.726 W003.01.03.206 Teal
N056.27.13.726 W003.01.03.206 N056.27.13.758 W003.01.03.187 Teal
N056.27.13.758 W003.01.03.187 N056.27.13.805 W003.01.03.186 Teal
N056.27.13.805 W003.01.03.186 N056.27.13.849 W003.01.03.166 Teal
N056.27.13.849 W003.01.03.166 N056.27.13.877 W003.01.03.131 Teal
N056.27.13.877 W003.01.03.131 N056.27.13.902 W003.01.03.105 Teal
N056.27.13.902 W003.01.03.105 N056.27.13.894 W003.01.03.052 Teal
N056.27.13.894 W003.01.03.052 N056.27.13.947 W003.01.03.013 Teal
N056.27.13.947 W003.01.03.013 N056.27.13.975 W003.01.02.949 Teal
N056.27.13.975 W003.01.02.949 N056.27.13.958 W003.01.02.872 Teal
N056.27.13.958 W003.01.02.872 N056.27.14.003 W003.01.02.840 Teal
N056.27.14.003 W003.01.02.840 N056.27.14.011 W003.01.02.757 Teal
N056.27.14.011 W003.01.02.757 N056.27.13.985 W003.01.02.716 Teal
N056.27.13.985 W003.01.02.716 N056.27.13.987 W003.01.02.648 Teal
N056.27.13.987 W003.01.02.648 N056.27.13.987 W003.01.02.581 Teal
N056.27.13.987 W003.01.02.581 N056.27.13.986 W003.01.02.505 Teal
N056.27.13.986 W003.01.02.505 N056.27.14.006 W003.01.02.437 Teal
N056.27.14.006 W003.01.02.437 N056.27.13.981 W003.01.02.303 Teal
N056.27.13.981 W003.01.02.303 N056.27.13.922 W003.01.02.242 Teal
N056.27.13.922 W003.01.02.242 N056.27.13.889 W003.01.02.184 Teal
N056.27.13.889 W003.01.02.184 N056.27.13.885 W003.01.02.137 Teal
N056.27.13.885 W003.01.02.137 N056.27.13.844 W003.01.02.087 Teal
N056.27.13.844 W003.01.02.087 N056.27.13.767 W003.01.02.037 Teal
N056.27.13.767 W003.01.02.037 N056.27.13.754 W003.01.02.021 Teal
N056.27.13.754 W003.01.02.021 N056.27.13.703 W003.01.01.998 Teal
N056.27.13.703 W003.01.01.998 N056.27.13.688 W003.01.02.000 Teal
N056.27.13.688 W003.01.02.000 N056.27.13.656 W003.01.02.019 Teal
N056.27.13.656 W003.01.02.019 N056.27.13.576 W003.01.01.997 Teal
N056.27.13.576 W003.01.01.997 N056.27.13.561 W003.01.02.044 Teal
N056.27.13.561 W003.01.02.044 N056.27.13.517 W003.01.02.076 Teal
N056.27.13.517 W003.01.02.076 N056.27.13.444 W003.01.02.110 Teal
N056.27.13.444 W003.01.02.110 N056.27.13.407 W003.01.02.184 Teal
N056.27.13.407 W003.01.02.184 N056.27.13.397 W003.01.02.262 Teal
N056.27.13.397 W003.01.02.262 N056.27.13.341 W003.01.02.332 Teal
N056.27.13.341 W003.01.02.332 N056.27.13.318 W003.01.02.425 Teal
N056.27.13.318 W003.01.02.425 N056.27.13.307 W003.01.02.507 Teal
N056.27.13.307 W003.01.02.507 N056.27.13.303 W003.01.02.590 Teal
N056.27.13.303 W003.01.02.590 N056.27.13.303 W003.01.02.666 Teal
N056.27.13.303 W003.01.02.666 N056.27.13.310 W003.01.02.785 Teal
N056.27.13.310 W003.01.02.785 N056.27.13.367 W003.01.02.885 Teal
N056.27.13.367 W003.01.02.885 N056.27.13.347 W003.01.02.904 Teal
N056.27.13.497 W003.01.02.828 N056.27.13.830 W003.01.02.833 Teal
N056.27.13.828 W003.01.02.439 N056.27.13.494 W003.01.02.422 Teal
N056.27.13.634 W003.01.02.428 N056.27.13.637 W003.01.02.816 Teal
;- ISLANDS
