;Airfield Boundary
REGIONNAME Leuchars
smrMilBoundary N056.22.09.729 W002.51.12.029
N056.22.10.525 W002.51.12.306
N056.22.12.838 W002.51.01.571
N056.22.13.951 W002.51.01.476
N056.22.13.965 W002.50.59.966
N056.22.16.281 W002.50.56.720
N056.22.16.461 W002.50.52.327
N056.22.19.671 W002.50.42.317
N056.22.19.784 W002.50.41.918
N056.22.19.881 W002.50.41.525
N056.22.20.291 W002.50.39.656
N056.22.21.369 W002.50.33.616
N056.22.26.027 W002.50.16.687
N056.22.26.924 W002.50.15.443
N056.22.26.975 W002.50.13.151
N056.22.31.356 W002.50.01.038
N056.22.36.520 W002.49.47.679
N056.22.38.053 W002.49.48.084
N056.22.39.559 W002.49.43.059
N056.22.39.967 W002.49.43.302
N056.22.40.816 W002.49.42.880
N056.22.46.236 W002.49.32.319
N056.22.48.078 W002.49.32.982
N056.22.42.145 W002.50.09.860
N056.22.41.664 W002.50.16.554
N056.22.42.437 W002.50.17.868
N056.22.44.923 W002.50.20.447
N056.22.43.817 W002.50.34.138
N056.22.42.438 W002.50.33.658
N056.22.41.870 W002.50.37.367
N056.22.40.916 W002.50.49.244
N056.22.44.337 W002.50.51.740
N056.22.52.900 W002.50.57.117
N056.22.57.527 W002.51.19.437
N056.23.01.078 W002.51.27.734
N056.22.55.500 W002.51.32.372
N056.22.56.257 W002.51.34.735
N056.22.50.444 W002.51.42.274
N056.22.48.733 W002.51.48.518
N056.22.48.826 W002.51.50.117
N056.22.48.013 W002.52.03.075
N056.22.46.949 W002.52.14.162
N056.22.48.624 W002.52.21.285
N056.22.39.918 W002.52.20.289
N056.22.40.968 W002.52.35.039
N056.22.42.656 W002.52.36.208
N056.22.43.494 W002.52.37.165
N056.22.44.155 W002.52.38.287
N056.22.44.984 W002.52.39.803
N056.22.45.933 W002.52.41.898
N056.22.46.936 W002.52.44.165
N056.22.47.881 W002.52.46.263
N056.22.48.679 W002.52.48.504
N056.22.49.260 W002.52.50.721
N056.22.49.431 W002.52.52.965
N056.22.48.273 W002.52.52.634
N056.22.47.746 W002.52.52.946
N056.22.46.927 W002.52.53.288
N056.22.45.757 W002.52.53.464
N056.22.44.762 W002.52.53.534
N056.22.43.860 W002.52.54.032
N056.22.43.144 W002.52.54.563
N056.22.40.597 W002.52.57.275
N056.22.39.012 W002.52.59.145
N056.22.37.791 W002.53.00.723
N056.22.36.635 W002.53.02.330
N056.22.35.742 W002.53.03.922
N056.22.34.958 W002.53.05.481
N056.22.34.405 W002.53.06.913
N056.22.33.745 W002.53.08.630
N056.22.33.041 W002.53.09.794
N056.22.31.859 W002.53.11.120
N056.22.30.943 W002.53.11.574
N056.22.30.334 W002.53.11.627
