;EGQS Lossiemouth RNP approach fixes
;Source: UK Mil AIP AMDT 2607 (Eff 09 Jul 26), pages 76-83 (charts AD 2 - EGQS - 1 - 30/31/32/33)
;IAF/Hold fixes for RNP approaches
CODWO N057.53.38.010 W003.13.04.090
CUFNE N057.31.12.820 W003.27.18.420
HUTUX N057.31.01.910 W003.40.25.020
FEFWA N057.38.05.140 W003.40.46.940
TOTHE N057.38.41.370 W003.42.12.960
NEMZA N057.44.10.850 W003.50.29.700
UPHEF N057.48.36.780 W003.40.12.930
WOBFE N057.53.46.250 W002.59.48.810
IGDAF N057.46.42.950 W002.59.34.690
KAHEW N057.36.09.670 W003.00.26.180
REWOF N057.46.04.410 W002.58.14.870
AGHAF N057.40.31.550 W002.50.05.620

;IF/IAF, FAF and post-MAPt fixes for RNP approaches
QS05I N057.34.39.160 W003.34.02.040
QS05F N057.38.10.880 W003.27.47.020
QSM01 N057.45.28.950 W003.14.45.440
QS10I N057.43.39.080 W003.41.13.080
QS10F N057.43.07.660 W003.32.14.200
QSM03 N057.42.05.440 W003.14.58.410
QS23I N057.50.10.660 W003.06.18.740
QS23F N057.47.15.480 W003.11.34.200
QSM02 N057.40.45.340 W003.23.12.320
QS28I N057.41.07.050 W002.59.20.670
QS28F N057.41.40.500 W003.08.13.870
QSM04 N057.42.39.490 W003.24.20.310
