;Runway 05
N052.10.44.590 E000.07.30.000 N052.10.32.990 E000.07.07.650 
N052.10.32.990 E000.07.07.650 N052.08.14.520 E000.02.26.140 
N052.10.30.840 E000.07.48.830 N052.10.58.330 E000.07.11.150 
N052.09.43.440 E000.04.40.000 N052.09.15.350 E000.05.16.480 
N052.08.00.480 E000.02.44.370 N052.08.28.570 E000.02.07.910 
;Runway 23
N052.13.52.460 E000.13.33.210 N052.17.43.680 E000.21.01.860 
N052.14.06.200 E000.13.14.340 N052.13.38.710 E000.13.52.060 
N052.14.55.840 E000.16.21.480 N052.15.23.330 E000.15.43.740 
N052.16.40.390 E000.18.13.280 N052.16.12.900 E000.18.51.040 
N052.17.29.930 E000.21.20.750 N052.17.57.420 E000.20.42.970 
