EGSC Cambridge               S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Hold Lines
N052.12.35.801 E000.10.56.830 N052.12.35.463 E000.10.55.945 smrStandHold ;A
N052.12.33.845 E000.10.52.374 N052.12.33.568 E000.10.51.439 smrStandHold ;B
N052.12.26.929 E000.10.38.399 N052.12.26.610 E000.10.37.795 smrStandHold ;C
N052.12.13.064 E000.10.11.695 N052.12.12.533 E000.10.10.641 smrStandHold ;D
N052.12.31.665 E000.10.29.336 N052.12.31.331 E000.10.29.594 smrStandHold ;E
N052.12.15.385 E000.10.04.647 N052.12.14.674 E000.10.05.616 smrStandHold ;F
N052.12.30.560 E000.10.45.625 N052.12.30.891 E000.10.46.260 smrStandHold ;J
N052.12.17.845 E000.10.21.053 N052.12.17.491 E000.10.20.383 smrStandHold ;L1
N052.12.30.029 E000.10.29.219 N052.12.29.777 E000.10.29.889 smrStandHold ;L2
N052.12.32.482 E000.10.32.985 N052.12.32.064 E000.10.33.319 smrStandHold ;L3
N052.12.28.922 E000.10.37.959 N052.12.28.874 E000.10.37.086 smrStandHold ;N
N052.12.24.492 E000.10.54.304 N052.12.23.962 E000.10.53.232 smrStandHold ;U1
N052.12.25.476 E000.10.53.008 N052.12.24.908 E000.10.51.893 smrStandHold ;U2
N052.12.20.596 E000.10.46.796 N052.12.20.204 E000.10.46.015 smrStandHold ;V1
N052.12.21.625 E000.10.45.467 N052.12.21.185 E000.10.44.658 smrStandHold ;V2
N052.12.28.963 E000.11.10.305 N052.12.29.725 E000.11.11.783 smrStandHold ;Y1
N052.12.10.009 E000.10.33.560 N052.12.09.247 E000.10.32.071 smrStandHold ;Y2
