;Runway 09
N052.40.31.547 E001.12.57.622 N052.40.25.779 E001.00.13.752
N052.40.22.622 E001.12.57.796 N052.40.40.472 E001.12.57.449
N052.40.21.901 E001.11.22.312 N052.40.39.751 E001.11.21.965
N052.40.21.180 E001.09.46.828 N052.40.39.030 E001.09.46.481
N052.40.20.459 E001.08.11.345 N052.40.38.309 E001.08.10.997
N052.40.19.738 E001.06.35.861 N052.40.37.588 E001.06.35.514
N052.40.19.017 E001.05.00.377 N052.40.36.867 E001.05.00.030
N052.40.18.296 E001.03.24.893 N052.40.36.146 E001.03.24.546
N052.40.17.575 E001.01.49.410 N052.40.35.425 E001.01.49.063
N052.40.16.854 E001.00.13.926 N052.40.34.704 E001.00.13.579
;Runway 27
N052.40.35.172 E001.20.57.547 N052.40.40.940 E001.33.41.417
N052.40.44.097 E001.20.57.373 N052.40.26.247 E001.20.57.720
N052.40.44.818 E001.22.32.857 N052.40.26.968 E001.22.33.204
N052.40.45.539 E001.24.08.341 N052.40.27.689 E001.24.08.688
N052.40.46.260 E001.25.43.824 N052.40.28.410 E001.25.44.172
N052.40.46.981 E001.27.19.308 N052.40.29.131 E001.27.19.655
N052.40.47.702 E001.28.54.792 N052.40.29.852 E001.28.55.139
N052.40.48.423 E001.30.30.276 N052.40.30.573 E001.30.30.623
N052.40.49.144 E001.32.05.759 N052.40.31.294 E001.32.06.106
N052.40.49.865 E001.33.41.243 N052.40.32.015 E001.33.41.590
