EGSH Norwich SMAA           S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N052.48.35.000 E001.09.05.000 N052.48.42.000 E001.25.34.000
                            N052.48.42.000 E001.25.34.000 N052.48.43.000 E001.25.42.000
                            N052.48.43.000 E001.25.42.000 N052.48.41.173 E001.26.51.002
                            N052.48.41.173 E001.26.51.002 N052.48.35.708 E001.27.59.478
                            N052.48.35.708 E001.27.59.478 N052.48.26.644 E001.29.06.909
                            N052.48.26.644 E001.29.06.909 N052.48.14.052 E001.30.12.780
                            N052.48.14.052 E001.30.12.780 N052.47.58.028 E001.31.16.590
                            N052.47.58.028 E001.31.16.590 N052.47.38.692 E001.32.17.853
                            N052.47.38.692 E001.32.17.853 N052.47.16.193 E001.33.16.104
                            N052.47.16.193 E001.33.16.104 N052.46.50.701 E001.34.10.899
                            N052.46.50.701 E001.34.10.899 N052.46.22.411 E001.35.01.821
                            N052.46.22.411 E001.35.01.821 N052.45.51.538 E001.35.48.482
                            N052.45.51.538 E001.35.48.482 N052.45.18.317 E001.36.30.528
                            N052.45.18.317 E001.36.30.528 N052.44.43.000 E001.37.07.638
                            N052.44.43.000 E001.37.07.638 N052.44.05.857 E001.37.39.530
                            N052.44.05.857 E001.37.39.530 N052.43.27.170 E001.38.05.961
                            N052.43.27.170 E001.38.05.961 N052.42.47.233 E001.38.26.730
                            N052.42.47.233 E001.38.26.730 N052.42.06.351 E001.38.41.679
                            N052.42.06.351 E001.38.41.679 N052.41.24.835 E001.38.50.694
                            N052.41.24.835 E001.38.50.694 N052.40.43.000 E001.38.53.706
                            N052.40.43.000 E001.38.53.706 N052.40.01.165 E001.38.50.694
                            N052.40.01.165 E001.38.50.694 N052.39.19.649 E001.38.41.679
                            N052.39.19.649 E001.38.41.679 N052.38.38.767 E001.38.26.730
                            N052.38.38.767 E001.38.26.730 N052.37.58.830 E001.38.05.961
                            N052.37.58.830 E001.38.05.961 N052.37.20.143 E001.37.39.530
                            N052.37.20.143 E001.37.39.530 N052.36.43.000 E001.37.07.638
                            N052.36.43.000 E001.37.07.638 N052.36.07.683 E001.36.30.528
                            N052.36.07.683 E001.36.30.528 N052.35.34.462 E001.35.48.482
                            N052.35.34.462 E001.35.48.482 N052.35.28.000 E001.35.37.000
                            N052.35.28.000 E001.35.37.000 N052.24.36.000 E001.18.25.000
                            N052.24.36.000 E001.18.25.000 N052.24.33.000 E001.16.58.000
                            N052.24.33.000 E001.16.58.000 N052.24.36.653 E001.14.40.005
                            N052.24.36.653 E001.14.40.005 N052.24.47.585 E001.12.23.061
                            N052.24.47.585 E001.12.23.061 N052.25.05.711 E001.10.08.209
                            N052.25.05.711 E001.10.08.209 N052.25.30.895 E001.07.56.475
                            N052.25.30.895 E001.07.56.475 N052.26.02.945 E001.05.48.863
                            N052.26.02.945 E001.05.48.863 N052.26.41.616 E001.03.46.344
                            N052.26.41.616 E001.03.46.344 N052.27.26.614 E001.01.49.849
                            N052.27.26.614 E001.01.49.849 N052.28.17.597 E001.00.00.267
                            N052.28.17.597 E001.00.00.267 N052.29.14.177 E000.58.18.429
                            N052.29.14.177 E000.58.18.429 N052.30.15.000 E000.56.55.000
                            N052.30.15.000 E000.56.55.000 N052.40.05.000 E000.56.09.000
                            N052.40.05.000 E000.56.09.000 N052.40.35.000 E000.56.04.334
                            N052.40.35.000 E000.56.04.334 N052.41.16.835 E000.56.07.346
                            N052.41.16.835 E000.56.07.346 N052.41.58.351 E000.56.16.361
                            N052.41.58.351 E000.56.16.361 N052.42.39.233 E000.56.31.309
                            N052.42.39.233 E000.56.31.309 N052.43.19.170 E000.56.52.077
                            N052.43.19.170 E000.56.52.077 N052.43.57.857 E000.57.18.507
                            N052.43.57.857 E000.57.18.507 N052.44.35.000 E000.57.50.397
                            N052.44.35.000 E000.57.50.397 N052.45.10.317 E000.58.27.505
                            N052.45.10.317 E000.58.27.505 N052.45.43.538 E000.59.09.549
                            N052.45.43.538 E000.59.09.549 N052.46.14.411 E000.59.56.207
                            N052.46.14.411 E000.59.56.207 N052.46.42.701 E001.00.47.127
                            N052.46.42.701 E001.00.47.127 N052.47.08.193 E001.01.41.919
                            N052.47.08.193 E001.01.41.919 N052.47.30.692 E001.02.40.167
                            N052.47.30.692 E001.02.40.167 N052.47.50.028 E001.03.41.427
                            N052.47.50.028 E001.03.41.427 N052.48.06.052 E001.04.45.234
                            N052.48.06.052 E001.04.45.234 N052.48.18.644 E001.05.51.102
                            N052.48.18.644 E001.05.51.102 N052.48.27.708 E001.06.58.529
                            N052.48.27.708 E001.06.58.529 N052.48.33.173 E001.08.07.002
                            N052.48.33.173 E001.08.07.002 N052.48.35.000 E001.09.05.000

                            N052.33.09.000 E001.04.46.000 N052.33.15.000 E001.04.57.000
                            N052.33.15.000 E001.04.57.000 N052.33.23.888 E001.05.11.860
                            N052.33.23.888 E001.05.11.860 N052.33.33.447 E001.05.32.333
                            N052.33.33.447 E001.05.32.333 N052.33.41.885 E001.05.54.097
                            N052.33.41.885 E001.05.54.097 N052.33.49.135 E001.06.16.987
                            N052.33.49.135 E001.06.16.987 N052.33.55.145 E001.06.40.828
                            N052.33.55.145 E001.06.40.828 N052.33.59.867 E001.07.05.440
                            N052.33.59.867 E001.07.05.440 N052.34.03.265 E001.07.30.634
                            N052.34.03.265 E001.07.30.634 N052.34.05.315 E001.07.56.219
                            N052.34.05.315 E001.07.56.219 N052.34.06.000 E001.08.22.000
                            N052.34.06.000 E001.08.22.000 N052.34.05.315 E001.08.47.781
                            N052.34.05.315 E001.08.47.781 N052.34.03.265 E001.09.13.366
                            N052.34.03.265 E001.09.13.366 N052.33.59.867 E001.09.38.560
                            N052.33.59.867 E001.09.38.560 N052.33.55.145 E001.10.03.172
                            N052.33.55.145 E001.10.03.172 N052.33.49.135 E001.10.27.013
                            N052.33.49.135 E001.10.27.013 N052.33.41.885 E001.10.49.903
                            N052.33.41.885 E001.10.49.903 N052.33.33.447 E001.11.11.667
                            N052.33.33.447 E001.11.11.667 N052.33.23.888 E001.11.32.140
                            N052.33.23.888 E001.11.32.140 N052.33.13.279 E001.11.51.166
                            N052.33.13.279 E001.11.51.166 N052.33.01.702 E001.12.08.600
                            N052.33.01.702 E001.12.08.600 N052.32.49.244 E001.12.24.310
                            N052.32.49.244 E001.12.24.310 N052.32.36.000 E001.12.38.175
                            N052.32.36.000 E001.12.38.175 N052.32.22.071 E001.12.50.091
                            N052.32.22.071 E001.12.50.091 N052.32.07.564 E001.12.59.966
                            N052.32.07.564 E001.12.59.966 N052.31.52.587 E001.13.07.726
                            N052.31.52.587 E001.13.07.726 N052.31.37.257 E001.13.13.312
                            N052.31.37.257 E001.13.13.312 N052.31.21.688 E001.13.16.680
                            N052.31.21.688 E001.13.16.680 N052.31.06.000 E001.13.17.806
                            N052.31.06.000 E001.13.17.806 N052.30.50.312 E001.13.16.680
                            N052.30.50.312 E001.13.16.680 N052.30.34.743 E001.13.13.312
                            N052.30.34.743 E001.13.13.312 N052.30.19.413 E001.13.07.726
                            N052.30.19.413 E001.13.07.726 N052.30.04.436 E001.12.59.966
                            N052.30.04.436 E001.12.59.966 N052.29.49.929 E001.12.50.091
                            N052.29.49.929 E001.12.50.091 N052.29.36.000 E001.12.38.175
                            N052.29.36.000 E001.12.38.175 N052.29.22.756 E001.12.24.310
                            N052.29.22.756 E001.12.24.310 N052.29.10.298 E001.12.08.600
                            N052.29.10.298 E001.12.08.600 N052.28.58.721 E001.11.51.166
                            N052.28.58.721 E001.11.51.166 N052.28.57.000 E001.11.47.000
                            N052.28.57.000 E001.11.47.000 N052.28.51.000 E001.11.36.000
                            N052.28.51.000 E001.11.36.000 N052.28.42.112 E001.11.21.133
                            N052.28.42.112 E001.11.21.133 N052.28.32.553 E001.11.00.661
                            N052.28.32.553 E001.11.00.661 N052.28.24.115 E001.10.38.897
                            N052.28.24.115 E001.10.38.897 N052.28.16.865 E001.10.16.008
                            N052.28.16.865 E001.10.16.008 N052.28.10.855 E001.09.52.168
                            N052.28.10.855 E001.09.52.168 N052.28.06.133 E001.09.27.557
                            N052.28.06.133 E001.09.27.557 N052.28.02.735 E001.09.02.364
                            N052.28.02.735 E001.09.02.364 N052.28.00.685 E001.08.36.780
                            N052.28.00.685 E001.08.36.780 N052.28.00.000 E001.08.11.000
                            N052.28.00.000 E001.08.11.000 N052.28.00.685 E001.07.45.220
                            N052.28.00.685 E001.07.45.220 N052.28.02.735 E001.07.19.636
                            N052.28.02.735 E001.07.19.636 N052.28.06.133 E001.06.54.443
                            N052.28.06.133 E001.06.54.443 N052.28.10.855 E001.06.29.832
                            N052.28.10.855 E001.06.29.832 N052.28.16.865 E001.06.05.992
                            N052.28.16.865 E001.06.05.992 N052.28.24.115 E001.05.43.103
                            N052.28.24.115 E001.05.43.103 N052.28.32.553 E001.05.21.339
                            N052.28.32.553 E001.05.21.339 N052.28.42.112 E001.05.00.867
                            N052.28.42.112 E001.05.00.867 N052.28.52.721 E001.04.41.842
                            N052.28.52.721 E001.04.41.842 N052.29.04.298 E001.04.24.408
                            N052.29.04.298 E001.04.24.408 N052.29.16.756 E001.04.08.699
                            N052.29.16.756 E001.04.08.699 N052.29.30.000 E001.03.54.834
                            N052.29.30.000 E001.03.54.834 N052.29.43.929 E001.03.42.919
                            N052.29.43.929 E001.03.42.919 N052.29.58.436 E001.03.33.044
                            N052.29.58.436 E001.03.33.044 N052.30.13.413 E001.03.25.284
                            N052.30.13.413 E001.03.25.284 N052.30.28.743 E001.03.19.699
                            N052.30.28.743 E001.03.19.699 N052.30.44.312 E001.03.16.331
                            N052.30.44.312 E001.03.16.331 N052.31.00.000 E001.03.15.206
                            N052.31.00.000 E001.03.15.206 N052.31.15.688 E001.03.16.331
                            N052.31.15.688 E001.03.16.331 N052.31.31.257 E001.03.19.699
                            N052.31.31.257 E001.03.19.699 N052.31.46.587 E001.03.25.284
                            N052.31.46.587 E001.03.25.284 N052.32.01.564 E001.03.33.044
                            N052.32.01.564 E001.03.33.044 N052.32.16.071 E001.03.42.919
                            N052.32.16.071 E001.03.42.919 N052.32.30.000 E001.03.54.834
                            N052.32.30.000 E001.03.54.834 N052.32.43.244 E001.04.08.699
                            N052.32.43.244 E001.04.08.699 N052.32.55.702 E001.04.24.408
                            N052.32.55.702 E001.04.24.408 N052.33.07.279 E001.04.41.842
                            N052.33.07.279 E001.04.41.842 N052.33.09.000 E001.04.46.000
