;Runway 04
N051.51.02.210 E000.10.59.870 N051.42.14.480 W000.02.07.510
N051.50.49.970 E000.11.21.130 N051.51.14.450 E000.10.38.340
N051.49.46.590 E000.08.27.030 N051.49.22.120 E000.09.09.530
N051.47.54.220 E000.06.58.070 N051.48.18.700 E000.06.15.590
N051.46.50.770 E000.04.04.300 N051.46.26.290 E000.04.46.760
N051.44.58.310 E000.02.35.590 N051.45.22.790 E000.01.53.150
N051.43.54.770 W000.00.17.850 N051.43.30.300 E000.00.24.560
N051.42.02.240 W000.01.46.320 N051.42.26.710 W000.02.28.710
;Runway 22
N051.55.10.080 E000.17.11.940 N052.03.55.820 E000.30.26.540
N051.55.22.310 E000.16.50.640 N051.54.57.840 E000.17.33.240
N051.56.25.570 E000.19.45.320 N051.56.50.040 E000.19.02.700
N051.58.17.730 E000.21.14.910 N051.57.53.250 E000.21.57.550
N051.59.20.900 E000.24.09.920 N051.59.45.370 E000.23.27.260
N052.00.48.500 E000.26.22.440 N052.01.12.970 E000.25.39.750
N052.02.16.060 E000.28.35.100 N052.02.40.540 E000.27.52.390
N052.03.43.580 E000.30.47.900 N052.04.08.060 E000.30.05.170
