EKVEG N051.44.58.160 E000.01.56.610
ROWAN N051.45.09.000 E000.14.57.000
SS04F N051.47.45.400 E000.06.05.710
SS22F N051.58.32.310 E000.22.16.180
SSE02 N051.54.39.010 E000.17.37.690
SSE05 N051.52.29.730 E000.19.24.750
SSE06 N051.48.50.070 E000.15.53.310
SSE11 N051.49.10.190 E000.23.48.040
SSE18 N051.49.37.860 E000.35.02.870
SSE23 N051.49.57.000 E000.43.06.080
SSE26 N051.50.08.210 E000.47.55.610
SSN01 N051.54.17.690 E000.15.52.900
SSS03 N051.49.38.120 E000.12.13.680
SSS11 N051.46.54.900 E000.15.12.380
SSS12 N051.45.53.580 E000.14.26.280
SSS18 N051.40.45.120 E000.18.31.920
SSW01 N051.51.46.360 E000.12.05.900
TOTVO N052.01.18.820 E000.26.27.790
XIGAR N051.48.50.000 E000.15.46.000
