;- STANSTED HOLDING POINTS
N051.53.42.900:E000.15.06.300:EGSS Holding Points:S1
N051.53.41.800:E000.15.10.600:EGSS Holding Points:S3
N051.53.38.400:E000.15.01.000:EGSS Holding Points:R1
N051.53.36.900:E000.15.03.800:EGSS Holding Points:R3
N051.53.23.300:E000.14.40.900:EGSS Holding Points:Q3
N051.53.18.800:E000.14.37.150:EGSS Holding Points:QR
N051.52.59.700:E000.14.09.200:EGSS Holding Points:NR
N051.52.57.200:E000.13.57.200:EGSS Holding Points:N1
N051.52.56.000:E000.14.01.050:EGSS Holding Points:N3
N051.52.43.900:E000.13.45.900:EGSS Holding Points:LR
N051.52.42.600:E000.13.35.300:EGSS Holding Points:L1
N051.52.41.000:E000.13.38.200:EGSS Holding Points:L3
N051.52.33.900:E000.13.24.800:EGSS Holding Points:K1
N051.52.32.600:E000.13.26.900:EGSS Holding Points:K3
N051.52.29.850:E000.13.16.200:EGSS Holding Points:H1
N051.52.28.900:E000.13.18.000:EGSS Holding Points:H3
N051.52.33.400:E000.13.06.400:EGSS Holding Points:G1
N051.52.39.000:E000.13.15.200:EGSS Holding Points:G3
N051.52.48.400:E000.13.30.300:EGSS Holding Points:G4
N051.53.02.900:E000.13.52.000:EGSS Holding Points:V1
N051.52.59.800:E000.13.47.000:EGSS Holding Points:V3
N051.53.08.300:E000.13.50.000:EGSS Holding Points:F1
N051.53.15.900:E000.13.01.200:EGSS Holding Points:F2
N051.53.12.800:E000.12.59.200:EGSS Holding Points:F3
N051.53.16.300:E000.14.13.500:EGSS Holding Points:U
;Stansted Stands
N051.53.10.640:E000.15.11.020:EGSS Stands:1
N051.53.12.610:E000.15.07.590:EGSS Stands:2
N051.53.14.560:E000.15.17.150:EGSS Stands:10
N051.53.14.050:E000.15.05.100:EGSS Stands:3
N051.53.16.060:E000.15.02.600:EGSS Stands:4
N051.53.18.080:E000.14.59.090:EGSS Stands:6
N051.53.16.130:E000.15.14.420:EGSS Stands:11
N051.53.17.800:E000.15.11.510:EGSS Stands:12
N051.53.19.630:E000.15.08.330:EGSS Stands:13
N051.53.20.920:E000.15.06.070:EGSS Stands:14
N051.53.22.380:E000.15.03.540:EGSS Stands:15
N051.53.21.270:E000.15.22.450:EGSS Stands:20
N051.53.22.450:E000.15.20.390:EGSS Stands:21
N051.53.23.800:E000.15.18.060:EGSS Stands:22
N051.53.25.310:E000.15.15.430:EGSS Stands:23
N051.53.26.990:E000.15.12.520:EGSS Stands:24
N051.53.25.670:E000.15.08.120:EGSS Stands:25
N051.53.23.390:E000.15.25.740:EGSS Stands:30
N051.53.24.310:E000.15.24.130:EGSS Stands:31
N051.53.25.790:E000.15.21.570:EGSS Stands:32
N051.53.27.460:E000.15.18.650:EGSS Stands:33
N051.53.29.130:E000.15.15.740:EGSS Stands:34
N051.53.28.040:E000.15.32.910:EGSS Stands:40
N051.53.29.080:E000.15.31.100:EGSS Stands:41
N051.53.30.500:E000.15.28.630:EGSS Stands:42
N051.53.32.170:E000.15.25.720:EGSS Stands:43
N051.53.33.840:E000.15.22.810:EGSS Stands:44
N051.53.32.360:E000.15.18.180:EGSS Stands:45
N051.53.30.480:E000.15.35.630:EGSS Stands:50
N051.53.32.290:E000.15.32.470:EGSS Stands:51
N051.53.34.110:E000.15.29.310:EGSS Stands:52
N051.53.35.930:E000.15.26.150:EGSS Stands:53
N051.53.34.970:E000.15.42.750:EGSS Stands:61
N051.53.36.840:E000.15.39.490:EGSS Stands:62
N051.53.38.700:E000.15.36.270:EGSS Stands:63
N051.53.40.530:E000.15.33.080:EGSS Stands:64
N051.53.39.290:E000.15.28.400:EGSS Stands:65
N051.53.36.290:E000.15.44.930:EGSS Stands:70
N051.53.38.160:E000.15.41.680:EGSS Stands:71
N051.53.40.010:E000.15.38.450:EGSS Stands:72
N051.53.41.840:E000.15.35.280:EGSS Stands:73
N051.53.02.570:E000.14.41.720:EGSS Stands:204
N051.53.04.430:E000.14.38.460:EGSS Stands:205
N051.53.05.010:E000.14.45.470:EGSS Stands:213
N051.53.06.890:E000.14.42.200:EGSS Stands:214
N051.52.55.900:E000.13.31.150:EGSS Stands:503
N051.52.56.950:E000.13.32.720:EGSS Stands:504
N051.52.58.500:E000.13.35.060:EGSS Stands:505
N051.52.59.860:E000.13.37.090:EGSS Stands:506
N051.53.00.830:E000.13.38.550:EGSS Stands:507
N051.53.02.110:E000.13.40.470:EGSS Stands:508
N051.53.03.280:E000.13.42.710:EGSS Stands:509
N051.53.06.700:E000.13.40.190:EGSS Stands:510
N051.53.10.140:E000.13.37.310:EGSS Stands:511
N051.53.13.210:E000.13.31.360:EGSS Stands:512
N051.53.14.150:E000.13.25.850:EGSS Stands:513
N051.53.19.470:E000.13.16.370:EGSS Stands:514
